地區,大廈名單,最後個案居住日期,相關疑似/確診個案
中西區,廣基工廠大廈(非住宅),13/3/2020,第146個案
油尖旺,九龍清真寺(非住宅),13/3/2020,第151個案
深水埗,永康街55號金百盛中心(非住宅),13/3/2020,第153個案
九龍城, 壹號茗薈(非住宅),13/3/2020,第155個案
灣仔,合和中心(非住宅),13/3/2020,"第101,156及168個案"
油尖旺,九龍站機場快綫站(非住宅),13/3/2020,第162個案
中西區, 太古廣場(非住宅),13/3/2020,第182個案
灣仔,聖佛蘭士街(非住宅),13/3/2020,第183個案
灣仔,灣景國際(非住宅),14/3/2020,第144個案
南區,成都道2號平安樓(非住宅),14/3/2020,第149個案
九龍城,潮樓(非住宅),14/3/2020,第154個案
灣仔,頂旺大廈(非住宅),14/3/2020,第169個案
荃灣,帝景酒店(非住宅),14/3/2020,第170個案
中西區,大舞臺(非住宅),14/3/2020,第170個案
屯門,金銘大廈(非住宅),14/3/2020,第170個案
屯門,豫豐花園(非住宅),14/3/2020,第170個案
屯門,藍地大街1號(非住宅),14/3/2020,第170個案
中西區,中國銀行大廈(非住宅),14/3/2020,第183個案
北區,華明邨禮明樓(非住宅),15/3/2020,第155個案
中西區,香港JW萬豪酒店(非住宅),15/3/2020,"第85,101,104及156個案"
屯門,海珠路2號(非住宅),15/3/2020,第152個案
油尖旺,新填地街78-86 號金山樓(非住宅),15/3/2020,第159個案
屯門,屯門市廣場(非住宅),15/3/2020,第161個案
屯門,屯門時代廣場(非住宅),15/3/2020,第161個案
灣仔,大王東街14號(非住宅),15/3/2020,第169個案
東區,富怡花園(非住宅),15/3/2020,第170個案
沙田,銀禧薈(非住宅),15/3/2020,第172個案
深水埗, 基隆街225號(非住宅),14/3/2020,第191個案
深水埗,荔枝角道323號(非住宅),14/3/2020,第191個案
油尖旺,彌敦道337 - 339號金滿樓(非住宅),16/3/2020,第159個案
油尖旺,彌敦道 363 號恒成大廈(非住宅),16/3/2020,第159個案
油尖旺, 新寶廣場(非住宅),16/3/2020,第159個案
南區,赤柱廣場(非住宅),16/3/2020,第160個案
中西區,海富中心第1期(非住宅),16/3/2020,第161個案
灣仔,永豐大廈(非住宅),16/3/2020,第169個案
沙田,御龍山商場(非住宅),16/3/2020,第172個案
油尖旺,香港凱莉山學校(非住宅),16/3/2020,第174個案
中西區,銀禧大廈(非住宅),16/3/2020,第177及178個案
中西區, 南島商業大廈(非住宅),16/3/2020,第177及178個案
沙田,中建電信大廈(非住宅),15/3/2020,第191個案
沙田,希爾頓中心(非住宅),17/3/2020,第172個案
油尖旺,油麻地賽馬會分科診所(非住宅),18/3/2020,第150及192個案
屯門,仁愛普通科門診診所(非住宅),18/3/2020,第193個案
屯門,V city (非住宅),18/3/2020,第193個案
