地區,大廈名單,最後個案居住日期,相關疑似/確診個案
元朗,原築第1座,07/03/2020,115
荃灣,萬景峯1座,08/03/2020,220
灣仔,安慧苑,08/03/2020,"114,213"
南區,碧瑤灣28座,09/03/2020,"加拿大衞生當局通報的個案及第117,118個案"
屯門,兆禧苑安禧閣,10/03/2020,"120,121"
西貢,怡明邨怡情樓,10/03/2020,"58,128"
沙田,廣林苑茂林閣,10/03/2020,122
荃灣,碧堤半島7座,10/03/2020,"123,129"
觀塘,德福花園T座,10/03/2020,125
觀塘,麗港城2期26座,10/03/2020,"126,127"
中西區,西寧街35號西寧閣,12/03/2020,132
葵青,iPlace,12/03/2020,"130,131,133,138"
大埔,林村梧桐寨,13/03/2020,134
大埔,富亨邨亨泰樓,13/03/2020,"119,124,140"
中西區,順景雅庭,13/03/2020,135
西貢,清水灣道684號,13/03/2020,141
東區 ,港利中心,13/03/2020,139
南區,赤柱大街18號,13/03/2020,136
葵青,宏福花園,13/03/2020,142
灣仔,大坑台A座,13/03/2020,137
中西區,加列山道65號嘉麗園,14/03/2020,"147,148"
北區,華明邨禮明樓,14/03/2020,143
西貢,海逸居,14/03/2020,145
東區,堡壘大樓,14/03/2020,146
九龍城,鶴齡街8號,15/03/2020,154
中西區,港島香格里拉大酒店,15/03/2020,156
屯門,海典軒1座,15/03/2020,152
沙田,曉翠山莊10座,15/03/2020,153
油尖旺,重慶大廈A座,15/03/2020,151
油尖旺,唯港薈,15/03/2020,150
南區,華富(二)邨華昌樓,15/03/2020,149
黃大仙,龍蟠苑龍珠閣,15/03/2020,155
九龍城,鶴齡街8號,16/03/2020,228
大埔,逸瓏灣16座,16/03/2020,"157,158"
中西區,薄扶林道86號嘉瑜園,16/03/2020,163
屯門,屯門市廣場 4座,16/03/2020,161
南區,紅山半島,16/03/2020,"160,235"
九龍城,行德園,17/03/2020,195
中西區,豪景臺,17/03/2020,"177,178"
中西區,地利根德里3A號,17/03/2020,180
中西區,羅便臣道60號信怡閣,17/03/2020,183
沙田,香港體育學院運動員宿舍,17/03/2020,172
沙田,富寶花園8座,17/03/2020,171
東區,香港維港凱悅尚萃酒店,17/03/2020,169
東區,藍灣半島1座,17/03/2020,"186,170"
油尖旺,御金‧國峯7座,17/03/2020,162
南區,碧瑤灣47座,17/03/2020,184
南區,影灣園3座,17/03/2020,226
黄大仙,慈愛苑愛慧閣,17/03/2020,173
黃大仙,彩輝邨彩華樓,17/03/2020,167
灣仔,尚翹峰2座,17/03/2020,168
灣仔,景光街5號景祥大樓,17/03/2020,185
觀塘,油麗邨盈麗樓,17/03/2020,"175,176"
九龍城,馬頭圍邨芙蓉樓,18/03/2020,242
中西區,四方街20號,18/03/2020,208
中西區,星鑽,18/03/2020,251
中西區,高街1號,18/03/2020,217
中西區,曉峯閣1座,18/03/2020,207
元朗,白沙村,18/03/2020,201
