編號 No.,區 District,地址 Address,家居檢疫最後日期 End Date of Home Quarantine Order
1,中西區 Central & Western,"中源中心B座
BLOCK B, MIDLAND CENTRE",09/03/2020
2,中西區 Central & Western,"正德大廈
CHING TAK BUILDING",09/03/2020
3,中西區 Central & Western,"永祥大廈
WING CHEUNG BUILDING",09/03/2020
4,中西區 Central & Western,"安景閣
FAIRVIEW COURT",09/03/2020
5,中西區 Central & Western,"西環新樓
SAI WAN NEW APARTMENTS",09/03/2020
6,中西區 Central & Western,"昌寧大廈
CHEUNG LING MANSION",09/03/2020
7,中西區 Central & Western,"恆柏園A座
BLOCK A, PARK VIEW COURT",09/03/2020
8,中西區 Central & Western,"皇后大道西423-425號創業中心C座
BLOCK C, CHONG YIP CENTRE, NO.423-425 QUEEN'S ROAD WEST",09/03/2020
9,中西區 Central & Western,"盈基花園太白閣
TAI PAK COURT, YING GA GARDEN",09/03/2020
10,中西區 Central & Western,"香港大學研究生堂
GRADUATE HOUSE, THE UNIVERSITY OF HONG KONG",09/03/2020
11,中西區 Central & Western,"堅尼地城新海旁38號泓都1座
BLOCK 1, THE MERTON, NO.38 NEW PRAYA KENNEDY TOWN",09/03/2020
12,中西區 Central & Western,"得富大樓
DES VOEUX ROAD WEST BUILDING",09/03/2020
13,中西區 Central & Western,"御花園I座
BLOCK I, REGENT ON THE PARK",09/03/2020
14,中西區 Central & Western,"新街市街8號康威花園B座
BLOCK B, HONGWAY GARDEN, NO.8 NEW MARKET STREET",09/03/2020
15,中西區 Central & Western,"萬林閣
MANIFOLD COURT",09/03/2020
16,中西區 Central & Western,"肇苑
WOODLAND GARDEN",09/03/2020
17,中西區 Central & Western,"德輔道西205號
NO.205 DES VOEUX ROAD WEST",09/03/2020
18,中西區 Central & Western,"德輔道西206號
NO.206 DES VOEUX ROAD WEST",09/03/2020
19,中西區 Central & Western,"豫苑1座
TOWER 1, EUSTON COURT",09/03/2020
20,中西區 Central & Western,"龍華街20號觀龍樓C座
BLOCK C, KWUN LUNG LAU, NO.20 LUNG WAH STREET",09/03/2020
21,中西區 Central & Western,"觀龍樓B座
BLOCK B, KWUN LUNG LAU",09/03/2020
22,中西區 Central & Western,"文景大廈
MAN KING BUILDING",10/03/2020
23,中西區 Central & Western,"永華大廈
WING WAH MANSION",10/03/2020
24,中西區 Central & Western,"米行大廈
RICE MERCHANTS BUILDING",10/03/2020
25,中西區 Central & Western,"西營盤第二街98號
NO.98 SECOND STREET, SAI YING PUN",10/03/2020
26,中西區 Central & Western,"利基閣
TOPWORTH COURT",10/03/2020
27,中西區 Central & Western,"利豐大廈
LEE FUNG BUILDING",10/03/2020
28,中西區 Central & Western,"君德閣
CONDUIT TOWER",10/03/2020
29,中西區 Central & Western,"佳景閣
JADEVIEW COURT",10/03/2020
30,中西區 Central & Western,"卑路乍街13號珍珠閣
PEARL COURT, NO.13 BELCHER'S STREET",10/03/2020
31,中西區 Central & Western,"卑路乍街5號南雄大廈B座
BLOCK B, NAMHUNG MANSION, NO.5 BELCHER'S STREET",10/03/2020
32,中西區 Central & Western,"東祥大廈
TUNG CHEUNG BUILDING",10/03/2020
33,中西區 Central & Western,"金陵大廈
KAM LING COURT",10/03/2020
34,中西區 Central & Western,"金融街8號
NO.8 FINANCE STREET",10/03/2020
35,中西區 Central & Western,"金鐘道88號
NO.88 QUEENSWAY",10/03/2020
36,中西區 Central & Western,"恒昌泰大廈
HANG CHEONG TAI BUILDING",10/03/2020
37,中西區 Central & Western,"皇后大道西297號
NO.297 QUEEN'S ROAD WEST",10/03/2020
38,中西區 Central & Western,"皇后大道西338-342號
338-342 QUEEN'S ROAD WEST",10/03/2020
39,中西區 Central & Western,"皇后大道西70號
NO.70 QUEEN'S ROAD WEST",10/03/2020
40,中西區 Central & Western,"香港大學聖約翰學院王植庭堂
WONG CHIK TING HALL, ST. JOHN'S COLLEGE UNIVERSITY OF HONG KONG",10/03/2020
41,中西區 Central & Western,"振坤樓
CHUN KWAN BUILDING",10/03/2020
42,中西區 Central & Western,"高士台1座
TOWER 1, THE SUMMA",10/03/2020
43,中西區 Central & Western,"高街1E號
NO.1E HIGH STREET",10/03/2020
