更新日期,更新時間,地區,累計個案數目,新增個案數目,新村大邱教堂,清道郡大南醫院相關,輸入個案數目,其他,與流行病學有聯繫的群組或確診個案,其他##
01/03/2020,9:00,仁川,6,0,1,0,1,4,,
01/03/2020,9:00,光州,9,0,7,0,1,1,,
01/03/2020,9:00,大田,13,0,0,0,0,13,,
01/03/2020,9:00,蔚山,17,0,9,0,0,8,,
01/03/2020,9:00,世宗,1,0,1,0,0,0,,
01/03/2020,9:00,京畿,84,8,14,0,11,59,,
01/03/2020,9:00,江原,7,0,3,0,0,4,,
01/03/2020,9:00,忠清北,11,1,4,0,0,7,,
01/03/2020,9:00,忠清南,60,12,2,0,0,58,,
01/03/2020,9:00,全羅北,5,0,0,0,1,4,,
01/03/2020,9:00,全羅南,3,1,0,0,1,2,,
01/03/2020,9:00,慶尙北,514,45,162,115,0,237,,
01/03/2020,9:00,慶尙南,62,3,21,0,0,41,,
01/03/2020,9:00,濟州,2,0,0,0,0,2,,
01/03/2020,16:00,首爾,87,5,4,0,18,60,,
01/03/2020,16:00,釜山,83,2,8,2,0,71,,
01/03/2020,16:00,大邱,2705,136,1877,2,0,690,,
01/03/2020,16:00,仁川,6,0,1,0,1,4,,
01/03/2020,16:00,光州,9,0,7,0,1,1,,
01/03/2020,16:00,大田,13,0,0,0,0,13,,
01/03/2020,16:00,蔚山,20,3,9,0,0,8,,
01/03/2020,16:00,世宗,1,0,1,0,0,0,,
01/03/2020,16:00,京畿,89,5,14,0,11,59,,
01/03/2020,16:00,江原,15,8,3,0,0,4,,
01/03/2020,16:00,忠清北,11,0,4,0,0,7,,
01/03/2020,16:00,忠清南,68,8,2,0,0,58,,
01/03/2020,16:00,全羅北,6,1,0,0,1,4,,
01/03/2020,16:00,全羅南,3,0,0,0,1,2,,
01/03/2020,16:00,慶尙北,555,41,162,115,0,237,,
01/03/2020,16:00,慶尙南,63,1,21,0,0,41,,
01/03/2020,16:00,濟州,2,0,0,0,0,2,,
02/03/2020,0:00,首爾,91,9,4,0,18,69,,
02/03/2020,0:00,釜山,88,7,9,2,0,77,,
02/03/2020,0:00,大邱,3081,514,2136,2,0,943,,
02/03/2020,0:00,仁川,7,1,1,0,1,5,,
02/03/2020,0:00,光州,9,0,7,0,1,1,,
02/03/2020,0:00,大田,14,1,0,0,0,14,,
02/03/2020,0:00,蔚山,20,3,10,0,0,10,,
02/03/2020,0:00,世宗,1,0,1,0,0,0,,
02/03/2020,0:00,京畿,92,8,16,0,11,65,,
02/03/2020,0:00,江原,19,12,7,0,0,12,,
02/03/2020,0:00,忠清北,11,0,5,0,0,6,,
02/03/2020,0:00,忠清南,78,18,2,0,0,76,,
02/03/2020,0:00,全羅北,6,1,0,0,1,5,,
02/03/2020,0:00,全羅南,5,2,1,0,1,3,,
02/03/2020,0:00,慶尙北,624,108,197,115,0,312,,
02/03/2020,0:00,慶尙南,64,2,22,0,0,42,,
02/03/2020,0:00,濟州,2,0,0,0,0,2,,
03/03/2020,0:00,首爾,98,7,,,,,57,41
03/03/2020,0:00,釜山,90,2,,,,,68,22
03/03/2020,0:00,大邱,3601,520,,,,,2385,1216
03/03/2020,0:00,仁川,7,0,,,,,3,4
03/03/2020,0:00,光州,11,2,,,,,9,2
03/03/2020,0:00,大田,14,0,,,,,8,6
03/03/2020,0:00,蔚山,20,0,,,,,10,10
03/03/2020,0:00,世宗,1,0,,,,,1,0
03/03/2020,0:00,京畿,94,2,,,,,70,24
03/03/2020,0:00,江原,20,1,,,,,7,13
03/03/2020,0:00,忠清北,11,0,,,,,5,6
03/03/2020,0:00,忠清南,81,3,,,,,57,24
03/03/2020,0:00,全羅北,7,1,,,,,3,4
03/03/2020,0:00,全羅南,5,0,,,,,2,3
03/03/2020,0:00,慶尙北,685,61,,,,,436,249
03/03/2020,0:00,慶尙南,64,0,,,,,40,24
03/03/2020,0:00,濟州,3,1,,,,,0,3
04/03/2020,0:00,首爾,99,1,,,,,62,37
04/03/2020,0:00,釜山,93,3,,,,,71,22
04/03/2020,0:00,大邱,4006,405,,,,,2585,1421
04/03/2020,0:00,仁川,9,2,,,,,3,6
04/03/2020,0:00,光州,13,2,,,,,9,4
04/03/2020,0:00,大田,15,1,,,,,8,7
04/03/2020,0:00,蔚山,23,3,,,,,11,12
04/03/2020,0:00,世宗,1,0,,,,,1,0
04/03/2020,0:00,京畿,101,7,,,,,75,26
04/03/2020,0:00,江原,21,1,,,,,11,10
04/03/2020,0:00,忠清北,11,0,,,,,5,6
04/03/2020,0:00,忠清南,82,1,,,,,81,1
04/03/2020,0:00,全羅北,7,0,,,,,4,3
04/03/2020,0:00,全羅南,5,0,,,,,2,3
04/03/2020,0:00,慶尙北,774,89,,,,,526,248
04/03/2020,0:00,慶尙南,65,1,,,,,40,25
04/03/2020,0:00,濟州,3,0,,,,,0,3
05/03/2020,0:00,首爾,103,4,,,,,65,38
05/03/2020,0:00,釜山,92,-1,,,,,67,25
