District,Building name,Last date of residence of the case(s),Related probable/confirmed cases
Yuen Long,"Tower 1, La Grove",07/03/2020,115
Tsuen Wan,Tower 1 Vision City,08/03/2020,220
Wan Chai,Envoy Garden,08/03/2020,"114, 213"
Southern,"Block 28, Baguio Villa",09/03/2020,"Case notified by the health authority of Canada and Case 117, 118"
Tuen Mun,"On Hei House, Siu Hei Court",10/03/2020,"120, 121"
Sai Kung,Yee Ching House Yee Ming Estate,10/03/2020,"58,128"
Sha Tin,"Mau Lam House, Kwong Lam Court",10/03/2020,122
Tsuen Wan ,"Tower 7, Bellagio",10/03/2020,"123, 129"
Kwun Tong,"Block T, Telford Gardens",10/03/2020,125
Kwun Tong,"Block 26, Phase 2, Laguna City",10/03/2020,"126, 127"
Central & Western,"Serene Court, 35 Sai Ning Street ",12/03/2020,132
Kwai Tsing,iPlace,12/03/2020,"130, 131,133, 138"
Tai Po,"Ng Tung Chai, Lam Tsuen",13/03/2020,134
Tai Po,"Heng Tai House, Fu Heng Estate",13/03/2020,"119, 124, 140"
Central & Western,View Villa,13/03/2020,135
Sai Kung ,684 Clear Water Bay Road ,13/03/2020,141
Eastern,Cornell Centre ,13/03/2020,139
Southern,18 Stanley Main Street,13/03/2020,136
Kwai Tsing ,Tivoli Garden,13/03/2020,142
Wan Chai,"Block A, Tai Hang Terrace",13/03/2020,137
Central & Western,"Kellett View Town Houses, 65 Mount Kellett Road",14/03/2020,"147, 148"
North,"Lai Ming House, Wah Ming Estate",14/03/2020,143
Sai Kung,The Palisades,14/03/2020,145
Eastern,Fort Mansion,14/03/2020,146
Kowloon City,8 Hok Ling Street,15/03/2020,154
Central & Western,Island Shangri-La,15/03/2020,156
Tuen Mun,"Tower 1, Oceania Heights",15/03/2020,152
Shatin,"Block 10, Pristine Villa",15/03/2020,153
Yau Tsim Mong,"Block A, Chungking Mansions",15/03/2020,151
Yau Tsim Mong,Hotel ICON,15/03/2020,150
Southern,"Wah Cheong House, Wah Fu 2 Estate",15/03/2020,149
Wong Tai Sin,"Lung Chu House, Lung Poon Court",15/03/2020,155
Kowloon City ,8 Hok Ling Street,16/03/2020,228
Tai Po,"Block 16, Mayfair By The Sea",16/03/2020,"157, 158"
Central & Western,"Emerald Garden, 86 Pok Fu Lam Road",16/03/2020,163
Tuen Mun,"Block 4, Tuen Mun Town Plaza",16/03/2020,161
Southern,The Redhill Peninsula,16/03/2020,"160, 235"
Kowloon City,Hang Tak Yuen,17/03/2020,195
Central & Western,Rich View Terrace,17/03/2020,"177, 178"
Central & Western,3A Tregunter Path,17/03/2020,180
Central & Western,"Seymour Place,60 Robinson Road",17/03/2020,183
Shatin,Hong Kong Sports Institute Athletes' Hostel,17/03/2020,172
Shatin,"Block 8, Saddle Ridge Garden ",17/03/2020,171
Eastern,Hyatt Centric Victoria Harbour Hong Kong,17/03/2020,169
Eastern,"Block 1, Island Resort",17/03/2020,"186, 170"
Yau Tsim Mong,"Tower 7, the Coronation",17/03/2020,162
Southern,"Block 47, Baguio Villa",17/03/2020,184
Southern,"Tower 3, The Repulse Bay",17/03/2020,226
Wong Tai Sin,"Oi Wai House, Tsz Oi Court",17/03/2020,173
Wong Tai Sin,"Choi Wah House, Choi Fai Estate",17/03/2020,167
Wan Chai,"Tower 2, the Zenith",17/03/2020,168
Wan Chai,"King Cheung Mansion, 5 King Kwong Street",17/03/2020,185
Kwun Tong,"Ying Lai House, Yau Lai Estate",17/03/2020,"175, 176"
Kowloon City,"Hibiscus House, Ma Tau Wai Estate",18/03/2020,242
Central & Western,20 Square Street,18/03/2020,208
Central & Western,The Nova,18/03/2020,251
Central & Western,1 High Street,18/03/2020,217
Central & Western,"Tower 1, Hillsborough Court",18/03/2020,207
Yuen Long,Pak Sha Tsuen,18/03/2020,201
Tuen Mun,Pentahotel Hong Kong,18/03/2020,193
Sai Kung ,Tai Mong Tsai Road ,18/03/2020,182
Sai Kung,"Tower 2, The Capitol, Lohas Park",18/03/2020,"205, 256"
Sai Kung ,"Kwong Ning House, Kwong Ming Court",18/03/2020,198
Shatin,"Court B, Tower 3, Dragons Range",18/03/2020,204
Shatin,"Tower 1, BayshoreTowers",18/03/2020,240
Shatin,"Block C, Sunshine City",18/03/2020,191
Yau Tsim Mong,K11 ARTUS,18/03/2020,209
Yau Tsim Mong,26 Kimberley Road,18/03/2020,199
Yau Tsim Mong,Imperial Hotel ,18/03/2020,200
Yau Tsim Mong,Hang Yue Court ,18/03/2020,192
Yau Tsim Mong,"Tower 3, Hampton Place",18/03/2020,"174, 222"
Southern,46 Island Road,18/03/2020,206
Tsuen Wan,"Block 5, The Summit Terrace",18/03/2020,219
Sham Shui Po,E hotel Hong Kong ,18/03/2020,190
Sham Shui Po,"Yee Kok Court, Yee Tai House",18/03/2020,221
Kwai Tsing ,"Kwai On House, Kwai Fong Estate ",18/03/2020,196
Wan Chai,Villa Monte Rosa,18/03/2020,216
Wan Chai,70 Tin Hau Temple Road,18/03/2020,218
Wan Chai,St. Regis Hong Kong,18/03/2020,"230, 264"
Eastern,"Maple Mansion, Harbour View Gardens",19/03/2020,249
Central & Western,"Evergreen Tower, Western Garden",19/03/2020,"238, 268"
Central & Western,"Po Hing Mansion, 20 Rutter Street",19/03/2020,245
Central & Western,Conway Mansion,19/03/2020,194
Central & Western,May Tower,19/03/2020,224
Yuen Long,"Shui Lam House, Tin Shui Estate",19/03/2020,231
Sai Kung,31 Wo Tong Kong,19/03/2020,239
Shatin,"Block D, The Grandville",19/03/2020,253
Shatin,"Tower 1, Ma On Shan Centre",19/03/2020,252
Eastern,Tung Lam Court,19/03/2020,237
Eastern,"Lai Wah Mansion, 867-881 King's Road",19/03/2020,250
Eastern,"Block Q, Kornhill",19/03/2020,269
Southern,"South Bay Road, Repulse Bay",19/03/2020,234
Southern,"Block 4, Repulse Bay Garden",19/03/2020,"203, 223"
Sham Shui Po,"Phase 2, Village Gardens",19/03/2020,243
Kwai Tsing,"Hong Ping House, Cheung Hong Estate",19/03/2020,233
Islands,"Block 5, Tung Chung Crescent",19/03/2020,212
Wan Chai ,Sakura Court ,19/03/2020,"181, 215"
Wan Chai,8 Ventris Road,19/03/2020,247
Wan Chai,"Beverly Hill, 6 Broadwood Road",19/03/2020,246
Wan Chai,Tower 3 The Avenue,19/03/2020,"211, 214, 230"
Central & Western,"Shun On Building, 2 Sands Street",20/03/2020,261
Central & Western,SOHO 189,20/03/2020,267
Central & Western,"Silvercrest, 24 Macdonnell Road",20/03/2020,265
Yuen Long,"Yiu Foo House, Tin Yiu (1) Estate ",20/03/2020,"258, 259"
Southern,No. 4 Stanley Village Road,20/03/2020,225
Southern,Repulse Bay Garden,20/03/2020,266
Tsuen Wan,"Block C, Luk Yeung Sun Chuen",20/03/2020,229
Wong Tai Sin,Tower 7 The Latitude ,20/03/2020,226
Kwai Tsing ,"Yam Heng House, Shek Yum Estate",20/03/2020,263
Wan Chai,"Tower 1, Hoover Tower",20/03/2020,210
Kowloon City,Cheong Shing Court,21/03/2020,262
Kowloon City,"Tower 3, Costa Del Sol, Laguna Verde",,227
Central & Western,"Travelodge Hotel, 263 Hollywood Road",,248
Tuen Mun,"Tip Sum House, Butterfly Estate",,244
North,"Tower 1, Green Code",,232
Shatin,Athlete's Hotstel in Hong Kong Sports Institutes,,254
Eastern,Viking Villas,,260
Yau Tsim Mong,"Block B, Hoi Lam House, Hoi Fu Court",,273
Yau Tsim Mong,"Block 4, Prosperous Garden",,272
Sham Shui Po,Mei Foo Sun Chuen Phase I,,270
Islands,"Tower 12, Caribbean Coast",,271
Wan Chai,The Emperor Hotel,,236
Kwun Tong,Dorsett Kwun Tong,,274
Tai Po,Tai Po Mega Mall (non-residential),07/03/2020,124
Tsuen Wan,Bellagio Mall (non-residential),07/03/2020,"123, 129"
Central & Western,73 Wyndham Street  (non-residential),07/03/2020,"182, 192"
Yau Tsim Mong,Sunbeam Commercial Building (non-residential),08/03/2020,125
Sha Tin ,Po Fook Memorial Hall  (non-residential),08/03/2020,125
Yau Tsim Mong,Mongkok Metro (non-residential),08/03/2020,125
Yau Tsim Mon,182 Reclamation Street (non-residential),08/03/2020,125
Wan Chai,48 Percival Street (non-residential),08/03/2020,134
Tuen Mun,"Shopping Centre, Melody Garden (non-residential)",08/03/2020,"120 ,  121"
Tsuen Wan,Chan Kee Commercial Centre (non-residential),09/03/2020,123
Tsuen Wan, 61 Sham Tseng Village (non-residential),09/03/2020,123
Yau Tsim Mong,Good Hope Building (non-residential),09/03/2020,125
Yau Tsim Mong,CMB Wing Lung Bank Centre (non-residential),09/03/2020,125
Kwun Tong ,Sing Win Factory Building  (non-residential),09/03/2020,125
Kwun Tong ,Kwun Tong Plaza (non-residential),09/03/2020,125
Eastern,625 King's Road (non-residential),09/03/2020,134
Yau Tsim Mong,14 Granville Road (non-residential),09/03/2020,174
Wan Chai,Central Plaza (non-residential),09/03/2020,192
Tuen Mun,Richland Garden Shopping Arcade (non-residential),09/03/2020,"120, 121"
Kwun Tong,Laguna Plaza (non-residential),09/03/2020,"126, 127"
Kwun Tong,Domain (non-residential),09/03/2020,"67, 125"
Islands,Cheung Chau Municipal Services Building (non-residential),10/03/2020,123
Islands,1-2 Kin Sun Lane (non-residential),10/03/2020,123
Yuen Long,Kingswood Richly Plaza (non-residential),10/03/2020,125
Kwai Tsing ,Tsing Yi Square  (non-residential),10/03/2020,142
Southern ,41 Heung Yip Road  (non-residential),10/03/2020,163
Southern ,One Island South  (non-residential),10/03/2020,163
Southern,Canadian International School (non-residential),10/03/2020,182
