As of date,As of time,Areas,Number of cases,Number of deaths
10/02/2020,23:59,Zhuhai,86,0
10/02/2020,23:59,Shantou,25,0
10/02/2020,23:59,Foshan,70,0
10/02/2020,23:59,Shaoguan,7,0
10/02/2020,23:59,Meizhou,13,0
10/02/2020,23:59,Huizhou,53,0
10/02/2020,23:59,Shanwei,5,0
10/02/2020,23:59,Dongguan,62,0
10/02/2020,23:59,Zhongshan,58,0
10/02/2020,23:59,Yangjiang,13,0
10/02/2020,23:59,Zhanjiang,21,0
10/02/2020,23:59,Zhaoqing,15,1
10/02/2020,23:59,Qingyuan,10,0
10/02/2020,23:59,Jieyang,8,0
10/02/2020,23:59,Heyuan,3,0
10/02/2020,23:59,Jiangmen,20,0
10/02/2020,23:59,Maoming,11,0
10/02/2020,23:59,Chaozhou,5,0
11/02/2020,23:59,Guangzhou,323,0
11/02/2020,23:59,Shenzhen,386,0
11/02/2020,23:59,Zhuhai,87,0
11/02/2020,23:59,Shantou,25,0
11/02/2020,23:59,Foshan,78,0
11/02/2020,23:59,Shaoguan,7,0
11/02/2020,23:59,Meizhou,13,0
11/02/2020,23:59,Huizhou,54,0
11/02/2020,23:59,Shanwei,5,0
11/02/2020,23:59,Dongguan,67,0
11/02/2020,23:59,Zhongshan,62,0
11/02/2020,23:59,Yangjiang,13,0
11/02/2020,23:59,Zhanjiang,21,0
11/02/2020,23:59,Zhaoqing,16,1
11/02/2020,23:59,Qingyuan,12,0
11/02/2020,23:59,Jieyang,8,0
11/02/2020,23:59,Heyuan,3,0
11/02/2020,23:59,Jiangmen,21,0
11/02/2020,23:59,Maoming,13,0
11/02/2020,23:59,Chaozhou,5,0
12/02/2020,23:59,Guangzhou,327,0
12/02/2020,23:59,Shenzhen,391,0
12/02/2020,23:59,Zhuhai,89,0
12/02/2020,23:59,Shantou,25,0
12/02/2020,23:59,Foshan,81,0
12/02/2020,23:59,Shaoguan,8,0
12/02/2020,23:59,Meizhou,13,0
12/02/2020,23:59,Huizhou,55,0
12/02/2020,23:59,Shanwei,5,0
12/02/2020,23:59,Dongguan,70,1
12/02/2020,23:59,Zhongshan,64,0
12/02/2020,23:59,Yangjiang,13,0
12/02/2020,23:59,Zhanjiang,21,0
12/02/2020,23:59,Zhaoqing,16,1
12/02/2020,23:59,Qingyuan,12,0
12/02/2020,23:59,Jieyang,8,0
12/02/2020,23:59,Heyuan,3,0
12/02/2020,23:59,Jiangmen,22,0
12/02/2020,23:59,Maoming,13,0
12/02/2020,23:59,Chaozhou,5,0
13/02/2020,23:59,Guangzhou,328,0
13/02/2020,23:59,Shenzhen,400,0
13/02/2020,23:59,Zhuhai,91,0
13/02/2020,23:59,Shantou,25,0
13/02/2020,23:59,Foshan,82,0
13/02/2020,23:59,Shaoguan,8,0
13/02/2020,23:59,Meizhou,14,0
13/02/2020,23:59,Huizhou,56,0
13/02/2020,23:59,Shanwei,5,0
13/02/2020,23:59,Dongguan,73,1
13/02/2020,23:59,Zhongshan,64,0
13/02/2020,23:59,Yangjiang,13,0
13/02/2020,23:59,Zhanjiang,22,0
13/02/2020,23:59,Zhaoqing,17,1
13/02/2020,23:59,Qingyuan,12,0
13/02/2020,23:59,Jieyang,8,0
13/02/2020,23:59,Heyuan,3,0
13/02/2020,23:59,Jiangmen,22,0
13/02/2020,23:59,Maoming,13,0
13/02/2020,23:59,Chaozhou,5,0
14/02/2020,23:59,Guangzhou,335,0
14/02/2020,23:59,Shenzhen,406,0
14/02/2020,23:59,Zhuhai,95,0
14/02/2020,23:59,Shantou,25,0
14/02/2020,23:59,Foshan,84,0
14/02/2020,23:59,Shaoguan,10,0
14/02/2020,23:59,Meizhou,15,0
14/02/2020,23:59,Huizhou,58,0
14/02/2020,23:59,Shanwei,5,0
14/02/2020,23:59,Dongguan,81,1
14/02/2020,23:59,Zhongshan,65,0
14/02/2020,23:59,Yangjiang,13,0
