As of date,As of time,Areas,Number of cases,Number of deaths
20/01/2020,23:59,Shenzhen,1,
22/01/2020,23:59,Guangzhou,5,
22/01/2020,23:59,Shenzhen,15,
22/01/2020,23:59,Zhuhai,4,
22/01/2020,23:59,Foshan,1,
22/01/2020,23:59,Shaoguan,2,
22/01/2020,23:59,Huizhou,1,
22/01/2020,23:59,Zhongshan,1,
22/01/2020,23:59,Zhanjiang,2,
22/01/2020,23:59,Zhaoqing,1,
23/01/2020,23:59,Guangzhou,7,
23/01/2020,23:59,Shenzhen,15,
23/01/2020,23:59,Zhuhai,8,
23/01/2020,23:59,Foshan,6,
23/01/2020,23:59,Shaoguan,3,
23/01/2020,23:59,Huizhou,5,
23/01/2020,23:59,Zhongshan,2,
23/01/2020,23:59,Yangjiang,3,
23/01/2020,23:59,Zhanjiang,2,
23/01/2020,23:59,Zhaoqing,1,
23/01/2020,23:59,Qingyuan,1,
24/01/2020,23:59,Guangzhou,14,
24/01/2020,23:59,Shenzhen,20,
24/01/2020,23:59,Zhuhai,10,
24/01/2020,23:59,Shantou,1,
24/01/2020,23:59,Foshan,9,
24/01/2020,23:59,Shaoguan,3,
24/01/2020,23:59,Huizhou,7,
24/01/2020,23:59,Dongguan,1,
24/01/2020,23:59,Zhongshan,2,
24/01/2020,23:59,Yangjiang,5,
24/01/2020,23:59,Zhanjiang,2,
24/01/2020,23:59,Zhaoqing,2,
24/01/2020,23:59,Qingyuan,2,
25/01/2020,23:59,Guangzhou,14,
25/01/2020,23:59,Shenzhen,27,
25/01/2020,23:59,Zhuhai,10,
25/01/2020,23:59,Shantou,2,
25/01/2020,23:59,Foshan,10,
25/01/2020,23:59,Shaoguan,3,
25/01/2020,23:59,Huizhou,8,
25/01/2020,23:59,Dongguan,2,
25/01/2020,23:59,Zhongshan,2,
25/01/2020,23:59,Yangjiang,6,
25/01/2020,23:59,Zhanjiang,4,
25/01/2020,23:59,Zhaoqing,4,
25/01/2020,23:59,Qingyuan,3,
25/01/2020,23:59,Jieyang,3,
26/01/2020,16:00,Guangzhou,17,
26/01/2020,16:00,Shenzhen,31,
26/01/2020,16:00,Zhuhai,12,
26/01/2020,16:00,Shantou,2,
26/01/2020,16:00,Foshan,10,
26/01/2020,16:00,Shaoguan,4,
26/01/2020,16:00,Meizhou,1,
26/01/2020,16:00,Huizhou,8,
26/01/2020,16:00,Dongguan,2,
26/01/2020,16:00,Zhongshan,2,
26/01/2020,16:00,Yangjiang,8,
26/01/2020,16:00,Zhanjiang,4,
26/01/2020,16:00,Zhaoqing,4,
26/01/2020,16:00,Qingyuan,3,
26/01/2020,16:00,Jieyang,3,
26/01/2020,23:59,Guangzhou,39,
26/01/2020,23:59,Shenzhen,36,
26/01/2020,23:59,Zhuhai,12,
26/01/2020,23:59,Shantou,2,
26/01/2020,23:59,Foshan,14,
26/01/2020,23:59,Shaoguan,4,
26/01/2020,23:59,Meizhou,1,
26/01/2020,23:59,Huizhou,8,
26/01/2020,23:59,Shanwei,1,
26/01/2020,23:59,Dongguan,2,
26/01/2020,23:59,Zhongshan,4,
26/01/2020,23:59,Yangjiang,8,
26/01/2020,23:59,Zhanjiang,5,
26/01/2020,23:59,Zhaoqing,4,
26/01/2020,23:59,Qingyuan,3,
26/01/2020,23:59,Jieyang,3,
27/01/2020,12:00,Guangzhou,41,
27/01/2020,12:00,Shenzhen,36,
27/01/2020,12:00,Zhuhai,12,
27/01/2020,12:00,Shantou,2,
27/01/2020,12:00,Foshan,14,
27/01/2020,12:00,Shaoguan,4,
27/01/2020,12:00,Meizhou,3,
27/01/2020,12:00,Huizhou,8,
27/01/2020,12:00,Shanwei,1,
27/01/2020,12:00,Dongguan,2,
27/01/2020,12:00,Zhongshan,5,
27/01/2020,12:00,Yangjiang,8,
27/01/2020,12:00,Zhanjiang,5,
27/01/2020,12:00,Zhaoqing,4,
27/01/2020,12:00,Qingyuan,3,
27/01/2020,12:00,Jieyang,3,
27/01/2020,23:59,Guangzhou,51,
27/01/2020,23:59,Shenzhen,49,
27/01/2020,23:59,Zhuhai,12,
27/01/2020,23:59,Shantou,5,
27/01/2020,23:59,Foshan,18,
27/01/2020,23:59,Shaoguan,4,
27/01/2020,23:59,Meizhou,3,
27/01/2020,23:59,Huizhou,11,
27/01/2020,23:59,Shanwei,1,
27/01/2020,23:59,Dongguan,2,
27/01/2020,23:59,Zhongshan,6,
27/01/2020,23:59,Yangjiang,8,
27/01/2020,23:59,Zhanjiang,5,
27/01/2020,23:59,Zhaoqing,4,
27/01/2020,23:59,Qingyuan,5,
27/01/2020,23:59,Jieyang,4,
28/01/2020,12:00,Guangzhou,51,
28/01/2020,12:00,Shenzhen,57,
28/01/2020,12:00,Zhuhai,12,
28/01/2020,12:00,Shantou,5,
28/01/2020,12:00,Foshan,18,
28/01/2020,12:00,Shaoguan,4,
28/01/2020,12:00,Meizhou,4,
28/01/2020,12:00,Huizhou,11,
28/01/2020,12:00,Shanwei,1,
28/01/2020,12:00,Dongguan,7,
28/01/2020,12:00,Zhongshan,6,
28/01/2020,12:00,Yangjiang,9,
28/01/2020,12:00,Zhanjiang,7,
28/01/2020,12:00,Zhaoqing,4,
28/01/2020,12:00,Qingyuan,6,
28/01/2020,12:00,Jieyang,4,
28/01/2020,12:00,Heyuan,1,
28/01/2020,23:59,Guangzhou,51,
28/01/2020,23:59,Shenzhen,57,
28/01/2020,23:59,Zhuhai,12,
28/01/2020,23:59,Shantou,5,
28/01/2020,23:59,Foshan,18,
28/01/2020,23:59,Shaoguan,4,
28/01/2020,23:59,Meizhou,4,
28/01/2020,23:59,Huizhou,11,
28/01/2020,23:59,Shanwei,1,
28/01/2020,23:59,Dongguan,7,
28/01/2020,23:59,Zhongshan,6,
28/01/2020,23:59,Yangjiang,9,
28/01/2020,23:59,Zhanjiang,7,
28/01/2020,23:59,Zhaoqing,4,
28/01/2020,23:59,Qingyuan,6,
28/01/2020,23:59,Jieyang,4,
28/01/2020,23:59,Heyuan,1,
29/01/2020,12:00,Guangzhou,63,
29/01/2020,12:00,Shenzhen,80,
29/01/2020,12:00,Zhuhai,18,
29/01/2020,12:00,Shantou,8,
29/01/2020,12:00,Foshan,21,
29/01/2020,12:00,Shaoguan,4,
29/01/2020,12:00,Meizhou,4,
29/01/2020,12:00,Huizhou,12,
29/01/2020,12:00,Shanwei,1,
29/01/2020,12:00,Dongguan,7,
29/01/2020,12:00,Zhongshan,13,
29/01/2020,12:00,Yangjiang,10,
29/01/2020,12:00,Zhanjiang,9,
29/01/2020,12:00,Zhaoqing,5,
29/01/2020,12:00,Qingyuan,6,
29/01/2020,12:00,Jieyang,6,
29/01/2020,12:00,Heyuan,1,
29/01/2020,12:00,Jiangmen,1,
29/01/2020,12:00,Maoming,3,
29/01/2020,23:59,Guangzhou,63,
29/01/2020,23:59,Shenzhen,80,
29/01/2020,23:59,Zhuhai,18,
29/01/2020,23:59,Shantou,8,
29/01/2020,23:59,Foshan,21,
29/01/2020,23:59,Shaoguan,4,
29/01/2020,23:59,Meizhou,4,
29/01/2020,23:59,Huizhou,12,
29/01/2020,23:59,Shanwei,1,
29/01/2020,23:59,Dongguan,7,
29/01/2020,23:59,Zhongshan,13,
29/01/2020,23:59,Yangjiang,10,
29/01/2020,23:59,Zhanjiang,9,
29/01/2020,23:59,Zhaoqing,5,
29/01/2020,23:59,Qingyuan,6,
29/01/2020,23:59,Jieyang,6,
29/01/2020,23:59,Heyuan,1,
29/01/2020,23:59,Jiangmen,1,
29/01/2020,23:59,Maoming,3,
30/01/2020,12:00,Guangzhou,94,
30/01/2020,12:00,Shenzhen,98,
30/01/2020,12:00,Zhuhai,26,
30/01/2020,12:00,Shantou,12,
30/01/2020,12:00,Foshan,25,
30/01/2020,12:00,Shaoguan,4,
30/01/2020,12:00,Meizhou,5,
30/01/2020,12:00,Huizhou,17,
30/01/2020,12:00,Shanwei,1,
30/01/2020,12:00,Dongguan,11,
30/01/2020,12:00,Zhongshan,18,
30/01/2020,12:00,Yangjiang,10,
30/01/2020,12:00,Zhanjiang,11,
30/01/2020,12:00,Zhaoqing,5,
30/01/2020,12:00,Qingyuan,6,
30/01/2020,12:00,Jieyang,6,
30/01/2020,12:00,Heyuan,1,
30/01/2020,12:00,Jiangmen,1,
30/01/2020,12:00,Maoming,3,
30/01/2020,23:59,Guangzhou,106,
30/01/2020,23:59,Shenzhen,110,
30/01/2020,23:59,Zhuhai,26,
30/01/2020,23:59,Shantou,12,
30/01/2020,23:59,Foshan,32,
30/01/2020,23:59,Shaoguan,4,
30/01/2020,23:59,Meizhou,5,
30/01/2020,23:59,Huizhou,17,
30/01/2020,23:59,Shanwei,3,
30/01/2020,23:59,Dongguan,16,
