地區,大廈名單,最後個案居住日期,相關疑似/確診個案
西貢,怡明邨怡情樓,,第58及128個案
灣仔,安慧苑,,第114及213個案
南區,碧瑤灣28座,,加拿大衞生當局通報的個案及第117及118個案
大埔,富亨邨亨泰樓,,第119，124及140個案
屯門,兆禧苑安禧閣,,第120及121個案
沙田,廣林苑茂林閣,,第122個案
荃灣,碧堤半島7座,,第123及129個案
觀塘,德福花園T座,,第125個案
觀塘,麗港城2期26座,,第126及127個案
葵青,iPlace,,第130，131，133及138個案
中西區,西寧街35號西寧閣,,第132個案
大埔,林村梧桐寨,,第134個案
中西區,順景雅庭,,第135個案
南區,赤柱大街18號,,第136個案
灣仔,大坑台A座,,第137個案
東區,港利中心,,第139個案
西貢,清水灣道684號,,第141個案
葵青,宏福花園,,第142個案
北區,華明邨禮明樓,,第143個案
西貢,海逸居,,第145個案
東區,堡壘大樓,,第146個案
中西區,加列山道65號嘉麗園,,第147及148個案
南區,華富(二)邨華昌樓,,第149個案
油尖旺,唯港薈,,第150個案
油尖旺,重慶大廈A座,,第151個案
屯門,海典軒1座,,第152個案
沙田,曉翠山莊10座,,第153個案
九龍城,鶴齡街8號,,第154個案
黃大仙,龍蟠苑龍珠閣,,第155個案
中西區,港島香格里拉大酒店,,第156個案
大埔,逸瓏灣16座,,第157及158個案
南區,紅山半島,,第160及235個案
屯門,屯門市廣場 4座,,第161個案
油尖旺,御金‧國峯7座,,第162個案
中西區,薄扶林道86號嘉瑜園,,第163個案
黃大仙,彩輝邨彩華樓,,第167個案
灣仔,尚翹峰2座,,第168個案
東區,香港維港凱悅尚萃酒店,,第169個案
東區,藍灣半島2座,,第170個案
沙田,富寶花園8座,,第171個案
沙田,香港體育學院運動員宿舍,,第172個案
黄大仙,慈愛苑愛慧閣,,第173個案
油尖旺,凱帆軒3座,,第174及222個案
觀塘,油麗邨盈麗樓,,第175及176個案
中西區,豪景臺,,第177及178個案
中西區,地利根德里3A號,,第180個案
灣仔,金櫻閣,,第181及215個案
西貢,大網仔路,,第182個案
中西區,羅便臣道60號信怡閣,,第183個案
南區,碧瑤灣47座,,第184個案
灣仔,景光街5號景祥大樓,,第185個案
東區,藍灣半島1座,,第186個案
深水埗,E 酒店,,第190個案
沙田,新港城C座,,第191個案
油尖旺,恆裕閣,,第192個案
屯門,香港屯門貝爾特酒店,,第193個案
中西區,康威園,,第194個案
九龍城,行德園,,第195個案
葵青,葵芳邨葵安樓,,第196個案
西貢,廣明苑廣寧閣,,第198個案
油尖旺,金巴利道26號,,第199個案
油尖旺,帝國酒店,,第200個案
元朗,白沙村,,第201個案
南區,麗景園4座,,第203及223個案
沙田,玖瓏山月瓏閣3座,,第204個案
西貢,日出康城首都2座,,第205及256個案
南區,香島道46號,,第206個案
中西區,曉峯閣1座,,第207個案
中西區,四方街20號,,第208個案
油尖旺,K11 ARTUS,,第209個案
灣仔,海華苑 1座,,第210個案
灣仔,囍滙3座,,第211，214及230個案
離島,東堤灣畔5座,,第212個案
灣仔,玫瑰新邨,,第216個案
中西區,高街1號,,第217個案
灣仔,天后廟道70號,,第218個案
荃灣,翠豐臺5座,,第219個案
荃灣,萬景峯1座,,第220個案
荃灣,萬景峯1座,,第220個案
深水埗,怡閣苑怡泰閣,,第221個案
中西區,梅苑,,第224個案
南區,赤柱村道4號,,第225個案
南區,影灣園3座,,第226個案
黃大仙,譽‧港灣7座,,第226個案
九龍城,海逸豪園綠庭軒3座,,第227個案
九龍城,鶴齡街8號,,第228個案
荃灣,綠楊新邨C座,,第229個案
灣仔,香港瑞吉酒店,,第230及264個案
元朗,天瑞邨瑞林樓,,第231個案
北區,逸峯1座,,第232個案
葵青,長康邨康平樓,,第233個案
南區,淺水灣南灣道,,第234個案
灣仔,英皇駿景酒店,,第236個案
東區,東霖苑,,第237個案
中西區,西園永翠閣,,第238及268個案
西貢,禾塘崗31號,,第239個案
沙田,海栢花園1座,,第240個案
九龍城,馬頭圍邨芙蓉樓,,第242個案
深水埗,又一村花園第2期,,第243個案
屯門,蝴蝶邨蝶心樓,,第244個案
中西區,律打街20號普慶大廈,,第245個案
