編號,地區,大廈名稱,家居檢疫最後日期
1,沙田區,晴碧花園1座,05/02/2020
2,荃灣區,碧堤半島2座,05/02/2020
3,深水埗區,石硤尾邨44座,05/02/2020
4,九龍城區,黃埔花園2期10座,06/02/2020
5,大埔區,寶馬山8座,06/02/2020
6,中西區,卑路戶街1號三匯大廈,06/02/2020
7,元朗區,美景居11座,06/02/2020
8,屯門區,友愛邨愛明樓,06/02/2020
9,西貢區,健明邨明日樓,06/02/2020
10,西貢區,天晉2座,06/02/2020
11,油尖旺區,詩歌舞街83號亮賢居,06/02/2020
12,油尖旺區,浪祥灣一座,06/02/2020
13,深水埗區,港灣豪庭6座,06/02/2020
14,黃大仙區,翠竹花園1座,06/02/2020
15,觀塘區,成業街15-17號成運工業大廈,06/02/2020
16,觀塘區,樂華北村勤華樓,06/02/2020
17,觀塘區,順利邨利富樓5樓,06/02/2020
18,九龍城區,福佬村道44A號福興樓,07/02/2020
19,九龍城區,華豐街7-8號衡豐樓,07/02/2020
20,中西區,德福道西334-350號恒裕大廈,07/02/2020
21,中西區,德輔道西464號碧華閣,07/02/2020
22,中西區,德輔道西296號良基大廈,07/02/2020
23,中西區,香港大學日新學院第三學生村,07/02/2020
24,元朗區,錦上路牛徑村,07/02/2020
25,西貢區,怡明邨怡茵樓,07/02/2020
26,西貢區,清水灣道大埔仔村,07/02/2020
27,沙田區,水泉澳邨峻泉樓,07/02/2020
28,沙田區,新港城中心4期K座,07/02/2020
29,沙田區,沙田第一城49座,07/02/2020
30,東區,鰂魚涌新威園C座,07/02/2020
31,油尖旺區,利奧坊2座,07/02/2020
32,南區,漁安苑銀安閣,07/02/2020
33,黃大仙區,竹園南邨麗園樓,07/02/2020
34,黃大仙區,黃大仙下邨龍逸樓,07/02/2020
35,葵青區,葵芳邨葵正樓,07/02/2020
36,葵青區,葵涌廣埸第一座,07/02/2020
37,離島區,迎東邨迎悅樓,07/02/2020
38,觀塘區,順天邨天慈樓,07/02/2020
39,九龍城區,黃埔花園第2期10座,08/02/2020
40,九龍城區,必嘉圍福年新樓,08/02/2020
41,中西區,加惠臺1座,08/02/2020
42,元朗區,孖環路福順樓,08/02/2020
43,元朗區,嘉湖山莊麗湖居4座,08/02/2020
44,元朗區,峻巒1A期,08/02/2020
45,屯門區,美樂花園4座,08/02/2020
46,屯門區,美樂花園 10座,08/02/2020
47,屯門區,鍾屋村,08/02/2020
48,屯門區,屯門海翠花園6座,08/02/2020
49,西貢區,日出康城5座,08/02/2020
50,西貢區,李達三葉耀珍伉儷李本俊會議大樓,08/02/2020
51,西貢區,佳景路9號浩明園,08/02/2020
52,沙田區,顯徑邨顯富樓,08/02/2020
53,沙田區,大圍名城3期,08/02/2020
54,東區,南豐新邨6座,08/02/2020
55,油尖旺區,凱帆軒2座,08/02/2020
56,荃灣區,楊屋道100號爵悅庭西爵,08/02/2020
57,深水埗區,榮昌邨榮俊樓,08/02/2020
58,深水埗區,海麗邨海和樓,08/02/2020
59,黃大仙區,黃大仙上邨昌善樓,08/02/2020
60,葵青區,大窩口邨富賢樓,08/02/2020
61,離島區,逸東邨瑞逸樓,08/02/2020
62,灣仔區,海華苑2期,08/02/2020
63,觀塘區,彩興苑彩薈閣,08/02/2020
64,觀塘區,宜安街2-4號致昌大厦,08/02/2020
65,觀塘區,平田邨平誠樓,08/02/2020
66,大埔區,太和邨寶雅苑興和閣,09/02/2020
67,中西區,皇后大道西427-437號生昌大厦,09/02/2020
68,元朗區,水邊圍邨泉水樓,09/02/2020
69,元朗區,天富苑朗富閣,09/02/2020
70,北區,上水圍大元村7巷,09/02/2020
71,元朗區,嘉湖山莊賞湖居5座,13/02/2020
