編號,地區,大廈名稱,家居檢疫最後日期
1,中西區,皇后大道西427-437號生昌大厦,09/02/2020
2,九龍城區,蕪湖街181號裕新大廈C座,09/02/2020
3,北區,上水圍大元村7巷,09/02/2020
4,北區,清河村清照樓,09/02/2020
5,南區,鴨脷洲邨利添樓,09/02/2020
6,大埔區,太和邨寶雅苑興和閣,09/02/2020
7,荃灣區,大窩口邨富德樓,09/02/2020
8,油尖旺區,香港理工大學(紅磡)學生宿舍,09/02/2020
9,油尖旺區,港景峰1座,09/02/2020
10,元朗區,水邊圍邨泉水樓,09/02/2020
11,元朗區,天富苑朗富閣,09/02/2020
12,元朗區,天慈村慈平樓,09/02/2020
13,元朗區,天富苑榮富閣,09/02/2020
14,北區,粉嶺中心A座,10/02/2020
15,沙田區,富豪花園富儷閣,10/02/2020
16,油尖旺區,弼街69號,10/02/2020
17,屯門區,新都大廈A座,11/02/2020
18,元朗區,朗屏邨悅屏樓,11/02/2020
19,深水埗區,汝洲街259號彩蘭樓,12/02/2020
20,屯門區,蝴蝶邨蝶翎樓,12/02/2020
21,觀塘區,廣田邨廣靖樓,12/02/2020
22,觀塘區,平田邨平誠樓,13/02/2020
23,北區,莆上村15號,13/02/2020
24,北區,牽晴間 11 座,13/02/2020
25,沙田區,銀禧花園5座,13/02/2020
26,沙田區,大圍名城2 期 5 座,13/02/2020
27,深水埗區,福華街206號榮安大廈,13/02/2020
28,元朗區,嘉湖山莊賞湖居5座,13/02/2020
29,沙田區,沙田中心廣寧大廈,14/02/2020
30,黃大仙區,鳳德村碧鳳樓,16/02/2020
31,葵青區,葵涌大廈A座,18/02/2020
32,葵青區,灝景灣1座,19/02/2020
33,元朗區,蝶翠峰 3座,20/02/2020
