No.,District,Name of Building,End Date of Home Quarantine
1,Kowloon City,"Block 10, Cherry Mansions, Whampoa Garden (Site2)",06/02/2020
2,Tai Po,"Block 8, Grand Palisades",06/02/2020
3,Central and Western,"Sum Way Mansion , 1 Belchers Street ",06/02/2020
4,Yuen Long,"Block 11, Goodview Court",06/02/2020
5,Tuen Mun,"Oi Ming House, Yau Oi Estate ",06/02/2020
6,Sai Kung,"Ming Yat House, Kin Ming Estate ",06/02/2020
7,Sai Kung,"Tower 2 (Aster Diamond), the Wings ",06/02/2020
8,Yau Tsim Mong,"Shining Heights, 83 Sycamore Street",06/02/2020
9,Yau Tsim Mong,"Block 1, The Long Beach",06/02/2020
10,Sham Shui Po,"Block 6, Metro Harbour View",06/02/2020
11,Wong Tai Sin,"Block 1, Tsui Chuk Garden",06/02/2020
12,Kwun Tong,"Sing Win Factory Building, 15-17 Shing Yip Street",06/02/2020
13,Kwun Tong,"Kan Wah House, Lok Wah North Estate",06/02/2020
14,Kwun Tong,"Lee Foo House , Shun Lee Estate",06/02/2020
15,Yau Tsim Mong,"Front Block, Man Ying Building, Ferry Street",06/02/2020
16,Sha Tin,Chan Kwan Tung Inter-university Hall The Chinese University of Hong Kong,06/02/2020
17,Tuen Mun,"Visitors' Quarters, 8 Castle Peak Road, Lingnan University",06/02/2020
18,Sha Tin,"Tower 1, Phase 1 Festival City",06/02/2020
19,Kowloon City,"Fook Hing House, 44A Fuk Lo Tsun Road",07/02/2020
20,Kowloon City,"Good Rich Mansion, 7-8 Wa Fung Street",07/02/2020
21,Central and Western,"Hang Yue Building, 334-350 Des Voeux Road West",07/02/2020
22,Central and Western,"Bic Wah Court, 464 Des Voeux Road West",07/02/2020
23,Central and Western,"Liang Ga Building, 296-302 Des Voeux Road West",07/02/2020
24,Central and Western,"Jockey Club Student Village III, Hong Kong University",07/02/2020
25,Yuen Long,"Ngau Keng Tsuen, Kam Sheung Road",07/02/2020
26,Sai Hung,"Tai Po Tsai Village, Clear Water Bay Road",07/02/2020
27,Sai Kung,"Yee Yan House, Yee Ming Estate",07/02/2020
28,Sha Tin,"Tsun Chuen House, Shui Chuen O Estate",07/02/2020
29,Sha Tin,"Block K, Phase 4 Sunshine City",07/02/2020
30,Sha Tin,"Block 49, City One",07/02/2020
31,Eastern,"Block C, Sunway Gardens",07/02/2020
32,Yau Tsim Mong,"Block 2, Eltanin Square Mile",07/02/2020
