編號,地區,大廈名稱,家居檢疫最後日期
1,中西區,德福道西334-350號恒裕大廈,07/02/2020
2,中西區,德輔道西464號碧華閣,07/02/2020
3,中西區,德輔道西296-302號良基大廈,07/02/2020
4,中西區,香港大學第三學生村-日新學院,07/02/2020
5,東區,鰂魚涌新威園C座,07/02/2020
6,離島區,迎東邨迎悅樓,07/02/2020
7,九龍城區,福佬村道44A號福興樓,07/02/2020
8,九龍城區,華豐街7-8號衡豐樓,07/02/2020
9,九龍城區,窩打老道 3A 號,07/02/2020
10,葵青區,葵芳邨葵正樓,07/02/2020
11,葵青區,葵涌廣埸第一座,07/02/2020
12,觀塘區,順天邨天池樓,07/02/2020
13,西貢區,怡明邨怡茵樓,07/02/2020
14,西貢區,清水灣道大埔仔村,07/02/2020
15,沙田區,水泉澳邨峻泉樓,07/02/2020
16,沙田區,新港城中心4期K座,07/02/2020
17,沙田區,沙田第一城49座,07/02/2020
18,沙田區,香港中文大學陳昆棟樓,07/02/2020
19,南區,漁安苑銀安閣,07/02/2020
20,黃大仙區,竹園南邨麗園樓,07/02/2020
21,黃大仙區,黃大仙下邨龍逸樓,07/02/2020
22,油尖旺區,利奧坊曉岸第二座,07/02/2020
23,油尖旺區,佐敦道18-24號鴻運大廈,07/02/2020
24,油尖旺區,利奧坊曉岸第一座,07/02/2020
25,油尖旺區,砵蘭街46-52號 iRent 油麻地公寓,07/02/2020
26,元朗區,錦上路牛徑村,07/02/2020
27,中西區,加惠臺1座,08/02/2020
28,中西區,香港大學賽馬會第三學生村宿舍B棟,08/02/2020
29,東區,南豐新邨6座,08/02/2020
30,東區,翠樂邨翠祿樓,08/02/2020
31,離島區,逸東邨瑞逸樓,08/02/2020
32,九龍城區,黃埔花園第2期10座,08/02/2020
33,九龍城區,必嘉圍福年新樓A座,08/02/2020
34,葵青區,大窩口邨富賢樓,08/02/2020
35,葵青區,長青邨青榕樓,08/02/2020
36,觀塘區,彩興苑彩薈閣,08/02/2020
37,觀塘區,宜安街2-4號致昌大厦,08/02/2020
38,觀塘區,平田邨平誠樓,08/02/2020
39,西貢區,日出康城5座,08/02/2020
40,西貢區,李達三葉耀珍伉儷李本俊會議大樓,08/02/2020
41,西貢區,佳景路9號浩明園,08/02/2020
42,沙田區,顯徑邨顯富樓,08/02/2020
43,沙田區,大圍名城3期3座,08/02/2020
44,深水埗區,榮昌邨榮俊樓,08/02/2020
45,深水埗區,海麗邨海和樓,08/02/2020
46,荃灣區,楊屋道100號爵悅庭西爵,08/02/2020
47,荃灣區,環宇海灣 8 座,08/02/2020
48,屯門區,美樂花園4座,08/02/2020
49,屯門區,美樂花園 10座,08/02/2020
50,屯門區,鍾屋村,08/02/2020
51,屯門區,屯門海翠花園6座,08/02/2020
52,灣仔區,海華苑2期,08/02/2020
53,黃大仙區,黃大仙上邨昌善樓,08/02/2020
54,油尖旺區,凱帆軒2座,08/02/2020
55,元朗區,媽横路45-67號福順樓,08/02/2020
56,元朗區,嘉湖山莊麗湖居4座,08/02/2020
57,元朗區,峻巒1A期10A座,08/02/2020
58,元朗區,嘉湖山莊賞湖居 2 座,08/02/2020
59,中西區,皇后大道西427-437號生昌大厦,09/02/2020
60,九龍城區,蕪湖街181號裕新大廈C座,09/02/2020
61,北區,上水圍大元村7巷,09/02/2020
62,北區,清河村清照樓,09/02/2020
63,南區,鴨脷洲邨利添樓,09/02/2020
64,大埔區,太和邨寶雅苑興和閣,09/02/2020
65,荃灣區,大窩口邨富德樓,09/02/2020
66,油尖旺區,香港理工大學勵志堂,09/02/2020
67,油尖旺區,港景峰1座,09/02/2020
68,元朗區,水邊圍邨泉水樓,09/02/2020
69,元朗區,天富苑朗富閣,09/02/2020
70,元朗區,天慈村慈平樓,09/02/2020
71,元朗區,天富苑榮富閣,09/02/2020
72,北區,粉嶺中心A座,10/02/2020
73,沙田區,富豪花園富儷閣,10/02/2020
74,油尖旺區,弼街69號,10/02/2020
75,屯門區,新都大廈A座,11/02/2020
76,元朗區,朗屏邨悅屏樓,11/02/2020
77,深水埗區,汝洲街259號彩蘭樓,12/02/2020
78,屯門區,蝴蝶邨蝶翎樓,12/02/2020
79,觀塘區,平田邨平誠樓,13/02/2020
80,北區,莆上村15號,13/02/2020
81,北區,牽晴間 11 座,13/02/2020
82,沙田區,銀禧花園5座,13/02/2020
83,沙田區,大圍名城 2 期 5 座,13/02/2020
84,深水埗區,福華街206號榮安大廈,13/02/2020
85,元朗區,嘉湖山莊賞湖居5座,13/02/2020
86,沙田區,沙田中心廣寧大廈,14/02/2020
87,黃大仙區,鳳德村碧鳳樓,16/02/2020
88,葵青區,石貝街18號葵涌大廈A座,18/02/2020
