District,Building name,Date of the last case staying in the building during the symptomatic phase
Shatin,Alva Hotel by Royal,20/01/2020
Shatin,"Tower 1A, Oceanaire",21/01/2020
Shatin ,"Tower 1, Lake Silver",23/01/2020
Tuen Mun,South Hillcrest,24/01/2020
Kwai Tsing,"Hong Mei House, Cheung Hong Estate",24/01/2020
Eastern,Universal Towers,25/01/2020
Sai Kung,"Tower 2, Tseung Kwan O Plaza",26/01/2020
Yau Tsim Mong,W Hong Kong,28/01/2020
Central ,Four Seasons Hotel ,28/01/2020
Yau Tsim Mong,"Tower 2, The Coronation",30/01/2020
Kowloon City,"Block 1, Site 11, Whampoa Garden",31/01/2020
