Flight/Train/Ship number,Departure & arrival,Date of travel,Related confirmed cases
Diamond Princess,"Hong Kong to Yokohama, Japan 25/01/2020-04/02/2020",04/02/2020,3 Hong Kong cases confirmed in Japan
Cathay Dragon KA694,"Hong Kong to Haikou, Hainan Province",27/01/2020,Non-local case
Cathay Pacific CX292,Rome to Hong Kong,31/01/2020,Non-local case
Hong Kong Express UO651,"Tokyo, Japan to Hong Kong",01/02/2020,Case 21 and 22
Cathay Pacific CX450,Hong Kong to Taipei,01/02/2020,Non-local case
