No.,District,Name of Building,End Date of Home Quarantine
1,Southern,"Block E, Minor Staff Quarters, The University of Hong Kong, 13-21 Pokfield Road",26/02/2020
2,Sham Shui Po,"Chiu Nan Building, 212 Tai Nan Street",26/02/2020
3,Kowloon City,"Sheung Ching House, Kai Ching Estate",26/02/2020
4,Islands,"Block 5, Seaview Crescent",26/02/2020
