No.,District,Name of Building,End Date of Home Quarantine
1,Central and Western,"Sang Cheong Building, 427-437 Queen's Road West",09/02/2020
2,Kowloon City,"Block C, Yue Sun Mansion, 181 Wuhu Street",09/02/2020
3,North,"Lane 7, Tai Yuen Tsuen, Sheung Shui Wai",09/02/2020
4,North,"Ching Chiu House, Ching Ho Estate",09/02/2020
5,Southern,"Lei Tim House, Ap Lei Chau Estate",09/02/2020
6,Tai Po,"Hing Wo House, Po Nga Court, Tai Wo Estate",09/02/2020
7,Tsuen Wan,"Fu Tak House, Tai Wo Hau Estate",09/02/2020
8,Yau Tsim Mong,"Hung Hom Hall, The Hong Kong Polytechnic University",09/02/2020
9,Yau Tsim Mong,"Block 1, Victoria Towers",09/02/2020
10,Yuen Long,"Chuen Shui House, Shui Pin Wai Estate",09/02/2020
11,Yuen Long,"Long Fu House, Tin Fu Court",09/02/2020
12,Yuen Long,"Tsz Ping House, Tin Tsz Estate",09/02/2020
13,Yuen Long,"Wing Fu House, Tin Fu Court",09/02/2020
14,North,"Block A, Fanling Centre",10/02/2020
15,Sha Tin,"Fontana Heights, Belair Garden",10/02/2020
16,Yau Tsim Mong,69 Bute Street,10/02/2020
17,Tuen Mun,"Block A, New Town Mansion",11/02/2020
18,Yuen Long,"Yuet Ping House, Long Ping Estate",11/02/2020
19,Sham Shui Po,"Choi Lan House, 259 Yu Chau Street",12/02/2020
20,Tuen Mun,"Tip Ling House, Butterfly Estate",12/02/2020
21,Kwun Tong,"Kwong Ching House, Kwong Tin Estate",12/02/2020
22,Kwun Tong,"Ping Shing House, Ping Tin Estate",13/02/2020
23,North,15 Po Sheung Tsuen,13/02/2020
24,North,"Block 11, Dawning Views",13/02/2020
25,Sha Tin,"Block 5, Jubilee Garden",13/02/2020
26,Sha Tin,"Tower 5, Phase 2 Festival City",13/02/2020
27,Sham Shui Po,"Wing On Building, 206 Fuk Wah Street",13/02/2020
28,Yuen Long,"Block 5, Sherwood Court, Kingswood Villas ",13/02/2020
29,Sha Tin,"Kwong Ning Building, Shatin Centre",14/02/2020
30,Wong Tai Sin,"Pik Fung House, Fung Tak Estate",16/02/2020
31,Kwai Tsing,"Block A, Kwai Chung Building ",18/02/2020
32,Kwai Tsing,"Block 1, Villa Esplanada ",19/02/2020
33,Yuen Long,"Block 3, Sereno Verde",20/02/2020
