Flight/Train/Ship number,Departure & arrival,Date of travel,Related probable/confirmed cases
Diamond Princess,"Yokohama, Japan → Hong Kong → Yokohama, Japan",Since 20/01/2020,"Case 14, 71, 78, 79, 80, 81, 87, 88, 94 and an outbreak reported by the health authority of Japan"
Taxi JW9897,N/A,25/01/2020- 16/02/2020,Case 68
Taxi,"Yun Mei House, Yau Mei Court→Kwun Tong Community Health Centre",19/02/2020,Case 69
Taxi,"1. Choi Tin House, Hing Tin Estate→Kwong Tin Shopping Centre  2. Kwong Tin Shopping Centre→Choi Tin House, Hing Tin Estate",18 & 20/02/2020,Case 72
Taxi,"1. Block 3, Grand Yoho→Pok Oi Hospital  2. Pok Oi Hospital→Block 3, Grand Yoho",21/02/2020,Case 75
Taxi,"Fly Dragon Terrace, 26-32 Tin Hau Temple Road→Pamela Youde Nethersole Eastern Hospital",22/02/2020,Case 70
Taxi,"Maylun Apartments, 1-25 Shu Kuk Street→Pamela Youde Nethersole Eastern Hospital",22/02/2020,Case 74
