編號,地區,大廈名稱,家居檢疫最後日期
1,葵青區,灝景灣1座,19/02/2020
2,元朗區,蝶翠峰 3座,20/02/2020
3,中西區,山道71-77號海光大廈,20/02/2020
4,沙田區,穗禾苑H座,22/02/2020
5,荃灣區,鱟地坊74號天保大樓,25/02/2020
6,南區,蒲飛路13-21號香港大學職工宿舍E座,26/02/2020
7,深水埗區,大南街212號朝南樓,26/02/2020
8,九龍城區,啟晴邨賞晴樓,26/02/2020
9,離島區,海堤灣畔5座,26/02/2020
