地區,大廈名單,最後個案居住日期,相關疑似/確診個案
東區,藍灣半島第三座,10/02/2020,第43個案
南區,利東邨東平樓,10/02/2020,第44個案
西貢,寶林邨寶仁樓,10/02/2020,第45個案
南區,田灣邨田澤樓,10/02/2020,第46個案
屯門,良田村,10/02/2020,第47個案
葵青,長安邨安濤樓,10/02/2020,第50個案
屯門,紫田村,12/02/2020,第51個案
灣仔,柯布連道28-32號香海大廈,12/02/2020,"第52,53個案"
葵青,石籬二邨石怡樓,12/02/2020,第55個案
南區,大浪灣村,13/02/2020,第54個案
中西區,永樂街233號,13/02/2020,第56個案
東區,康柏徑10號康景花園D座,14/02/2020,"第52,61個案"
東區,太古城明宫閣,16/02/2020,"第57, 60個案"
西貢,怡明邨怡情樓,16/02/2020,第58個案
黃大仙,慈愛苑愛華閣,16/02/2020,第59個案
觀塘,康寧道金僑華廈,17/02/2020,第62個案
東區,小西灣邨瑞滿樓,18/02/2020,"第64,65個案"
屯門,海景花園1座,18/02/2020,"第63, 66個案"
觀塘,曉麗苑曉暉閣,19/02/2020,第67個案
元朗,新田石湖圍,19/02/2020,第68個案
觀塘,油美苑潤美閣,20/02/2020,第69個案
灣仔,天后廟道26-32號飛龍臺,22/02/2020,第70個案
觀塘,興田邨彩田樓,22/02/2020,第72個案
東區,興華(二)邨展興樓,22/02/2020,第73個案
東區,書局街1-25號美輪大廈,22/02/2020,第74個案
元朗,Grand Yoho 第三座,22/02/2020,第75個案
南區,紅山半島第一期,23/02/2020,第76個案
東區,麗宮大廈,23/02/2020,第77個案
灣仔,群策大廈 (非住宅大廈),10/02/2020,"第30,44個案"
觀塘,大本型  (非住宅大廈),10/02/2020,第67個案
東區,太古城寶山閣  (非住宅大廈),10/02/2020,第60個案
東區 ,英皇道633號  (非住宅大廈),11/02/2020,"第57,59個案"
黃大仙,慈雲山毓華街42號  (非住宅大廈),13/02/2020,第59個案
觀塘,樂華北邨商場  (非住宅大廈),13/02/2020,第62個案
觀塘,啟田商場  (非住宅大廈),13/02/2020,第72個案
東區,高發大廈  (非住宅大廈),13/02/2020,第74個案
觀塘,曉麗苑商場  (非住宅大廈),14/02/2020,第67個案
東區 ,太古城元宮閣  (非住宅大廈),15/02/2020,第57個案
深水埗,長沙灣賽馬會普通科門診診所  (非住宅大廈),15/02/2020,第58個案
東區,書局街1-25號美輪大廈  (非住宅大廈),16/02/2020,"第65,70,73,74,76,77個案"
深水埗,元州街298號D  (非住宅大廈),16/02/2020,第58個案
大埔,安慈路4號昌運中心商場  (非住宅大廈),17/02/2020,第68個案
東區,北角道1-9A號皇冠大廈  (非住宅大廈),18/02/2020,"第64,65個案"
屯門,三聖街5號  (非住宅大廈),18/02/2020,"第63,66個案"
中西區,德輔道西271-285號  (非住宅大廈),18/02/2020,第69個案
觀塘,觀塘社區健康中心 (非住宅大廈),19/02/2020,第69個案
觀塘,廣田商場 (非住宅大廈),20/02/2020,第72個案
灣仔,山村道二號  (非住宅大廈),23/02/2020,第76個案
