No.,District,Name of Building,End Date of Home Quarantine
1,Central and Western,"Block 1, Cayman Rise",08/02/2020
2,Central and Western,"Hall B, Jockey Club Student Village III,  The University of Hong Kong",08/02/2020
3,Eastern,"Block 6, Nan Fung Sun Chuen",08/02/2020
4,Eastern,"Tsui Luk House, Tsui Lok Estate",08/02/2020
5,Islands,"Sui Yat House, Yat Tung Estate",08/02/2020
6,Kowloon City,"Block 10, Cherry Mansions, Whampoa Garden (Site2)",08/02/2020
7,Kowloon City,"Block A, Fok Lin Building",08/02/2020
8,Kowloon City,"Hall Eight, City University of Hong Kong",08/02/2020
9,Kwai Tsing,"Fu Yin House, Tai Wo Hau Estate",08/02/2020
10,Kwai Tsing,"Tsing Yung House, Cheung Tsing Estate",08/02/2020
11,Kwai Tsing,"Kin Shue House, Lei Muk Shue Estate",08/02/2020
12,Kwun Tong,"Choi Wui House, Choi Hing Court",08/02/2020
13,Kwun Tong,"Chi Cheong Building, 2-4 Yee On Street",08/02/2020
14,Kwun Tong,"Ping Shing House, Ping Tin Estate",08/02/2020
15,Kwun Tong,"Wun Wah House, Lok Wah South Estate",08/02/2020
16,Sai Kung,"Tower 5, Le Prestige of Lohas Park",08/02/2020
17,Sai Kung,Li Dak Sum Yip Yio Chin Kenneth Li Conference Lodge,08/02/2020
18,Sai Kung,"Ho Ming Court, 9 Kai King Road",08/02/2020
19,Sha Tin,"Hin Fu House, Hin Keng Estate",08/02/2020
20,Sha Tin,"Tower 3, Phase 3, Festival City",08/02/2020
21,Sham Shui Po,"Wing Chun House, Wing Cheong Estate",08/02/2020
22,Sham Shui Po,"Hoi Wo House, Hoi Lai Estate",08/02/2020
23,Tsuen Wan,"Tower West, Chelsea Court",08/02/2020
24,Tsuen Wan,"Block 8, City Point",08/02/2020
25,Tuen Mun,"Block 4, Melody Garden",08/02/2020
26,Tuen Mun,"Block 10, Melody Garden",08/02/2020
27,Tuen Mun,Chung Uk Tsuen,08/02/2020
28,Tuen Mun,"Block 6, Pierhead Garden",08/02/2020
29,Wan Chai,"Block 2, Hoover Towers",08/02/2020
30,Wong Tai Sin,"Cheong Sin House, Upper Wong Tai Sin Estate",08/02/2020
31,Yau Tsim Mong,"Tower 2, Hampton place",08/02/2020
32,Yuen Long,"Fook Shun Building, 45-67 Ma Wang Road",08/02/2020
33,Yuen Long,"Block 4, Lynwood Court, Kingswood Villas (Phase 5)",08/02/2020
34,Yuen Long,"Block 10A, Phase 1A Park Vista",08/02/2020
35,Yuen Long,"Block 2, Sherwood Court, Kingswood Villas",08/02/2020
36,Yuen Long,"Block B, Ping Yin House, Ping Yan Court",08/02/2020
37,Central and Western,"Sang Cheong Building, 427-437 Queen's Road West",09/02/2020
38,Kowloon City,"Block C, Yue Sun Mansion, 181 Wuhu Street",09/02/2020
39,North,"Lane 7, Tai Yuen Tsuen, Sheung Shui Wai",09/02/2020
40,North,"Ching Chiu House, Ching Ho Estate",09/02/2020
41,Southern,"Lei Tim House, Ap Lei Chau Estate",09/02/2020
42,Tai Po,"Hing Wo House, Po Nga Court, Tai Wo Estate",09/02/2020
43,Tsuen Wan,"Fu Tak House, Tai Wo Hau Estate",09/02/2020
44,Yau Tsim Mong,"Lizhi Hall, The Hong Kong Polytechnic University",09/02/2020
45,Yau Tsim Mong,"Block 1, Victoria Towers",09/02/2020
46,Yuen Long,"Chuen Shui House, Shui Pin Wai Estate",09/02/2020
47,Yuen Long,"Long Fu House, Tin Fu Court",09/02/2020
48,Yuen Long,"Tsz Ping House, Tin Tsz Estate",09/02/2020
49,Yuen Long,"Wing Fu House, Tin Fu Court",09/02/2020
50,North,"Block A, Fanling Centre",10/02/2020
51,Sha Tin,"Fontana Heights, Belair Garden",10/02/2020
52,Yau Tsim Mong,69 Bute Street,10/02/2020
53,Tuen Mun,"Block A, New Town Mansion",11/02/2020
54,Yuen Long,"Yuet Ping House, Long Ping Estate",11/02/2020
55,Sham Shui Po,"Choi Lan House, 259 Yu Chau Street",12/02/2020
56,Tuen Mun,"Tip Ling House, Butterfly Estate",12/02/2020
57,Kwun Tong,"Ping Shing House, Ping Tin Estate",13/02/2020
58,Kwun Tong,"Kwong Ching House, Kwong Tin Estate",13/02/2020
59,North,15 Po Sheung Tsuen,13/02/2020
60,North,"Block 11, Dawning Views",13/02/2020
61,Sha Tin,"Block 5, Jubilee Garden",13/02/2020
62,Sha Tin,"Tower 5, Phase 2 Festival City",13/02/2020
63,Sham Shui Po,"Wing On Building, 206 Fuk Wah Street",13/02/2020
64,Yuen Long,"Block 5, Sherwood Court, Kingswood Villas ",13/02/2020
65,Sha Tin,"Kwong Ning Building, Shatin Centre",14/02/2020
66,Wong Tai Sin,"Pik Fung House, Fung Tak Estate",16/02/2020
67,Kwai Tsing,"Block A, Kwai Chung Building",18/02/2020
68,Tsing Yi,"Block 1, Villa Esplanada ",19/02/2020
69,Yuen Long,"Block 3, Sereno Verde",20/02/2020
,,,
