No.,District,Name of Building,End Date of Home Quarantine
1,Sha Tin,"Kwong Ning Building, Shatin Centre",14/02/2020
2,Wong Tai Sin,"Pik Fung House, Fung Tak Estate",16/02/2020
3,Kwai Tsing,"Block A, Kwai Chung Building ",18/02/2020
4,Kwai Tsing,"Block 1, Villa Esplanada ",19/02/2020
5,Yuen Long,"Block 3, Sereno Verde",20/02/2020
6,Central and Western,"Hai Kwang Mansion, 71-77 Hill Road",20/02/2020
7,Sha Tin,"Block H, Sui Wo Court",22/02/2020
8,Tsuen Wan,"Tin Po Building, 74 Hau Tei Square",25/02/2020
9,Southern,"Block E, Minor Staff Quarters, The University of Hong Kong, 13-21 Pokfield Road",26/02/2020
10,Sham Shui Po,"Chiu Nan Building, 212 Tai Nan Street",26/02/2020
11,Kowloon City,"Sheung Ching House, Kai Ching Estate",26/02/2020
