編號,地區,大廈名稱,家居檢疫最後日期
1,南區,蒲飛路13-21號香港大學職工宿舍E座,26/02/2020
2,深水埗區,大南街212號朝南樓,26/02/2020
3,九龍城區,啟晴邨賞晴樓,26/02/2020
4,離島區,海堤灣畔5座,26/02/2020
