No.,District,Name of Building,End Date of Home Quarantine
1,Tsuen Wan,"Tin Po Building, 74 Hau Tei Square",25/02/2020
2,Southern,"Block E, Minor Staff Quarters, The University of Hong Kong, 13-21 Pokfield Road",26/02/2020
3,Sham Shui Po,"Chiu Nan Building, 212 Tai Nan Street",26/02/2020
4,Kowloon City,"Sheung Ching House, Kai Ching Estate",26/02/2020
5,Islands,"Block 5, Seaview Crescent",26/02/2020
