地區,大廈名單,最後個案居住日期,相關疑似/確診個案
油尖旺,漾日居3座,,520
中西區,聚賢居2座,,522
中西區,聚賢居2座,,523
灣仔,嘉易大廈,,524
灣仔,駱克道238-240號,,525
葵青,葵涌邨綠葵樓,,526
灣仔,驊宅,,528
油尖旺,海景大廈,,529
油尖旺,長樂街22號,,531
葵青,荃灣絲麗酒店,,532
南區,石排灣邨碧山樓,,533
東區,福昌樓,,534
中西區,歌賦街32號,,535
灣仔,金禧大廈,,536
中西區,Ardshiel,,537
沙田,嵐岸6座,,538
沙田,錦英苑E座,,539
中西區,香港華美達海景酒店,,540
西貢,澳貝村,,541
中西區,漢寧大廈,,542
中西區,德輔道西217號,,543
中西區,福利別墅,,544
觀塘,君立酒店,,545
元朗,喜利大廈,,546
北區,凱榮路,,547
中西區,豫苑,,548
屯門,寶怡花園2座,,549
九龍城,佛光街30號,,550
九龍城,紅樂道12號,,551
大埔,下坑村,,552
東區,和富中心1座,,553
油尖旺,旺角智選假日酒店,,554
中西區,輝鴻閣,,555
中西區,華麗都會酒店,,556
灣仔,灣仔帝盛酒店,,557
沙田,玖瓏山,,558
九龍城,大夫第A座,,559
中西區,香港華美達海景酒店,,560
屯門,海典軒,,561
西貢,富康花園4座,,562
中西區,輝煌臺,,563
中西區,學士臺2座,,564
沙田,帝堡城2座,,565
中西區,列堤頓道32號,,566
油尖旺,基隆街101號,,567
東區,杏花邨41座,,568
西貢,日出康城領凱10座,,569
黃大仙,星河名居E座,,570
南區,松苑,,571
觀塘,康利苑1座,,572
沙田,盛薈5座,,573
西貢,怡明邨怡茵樓,,574
中西區,堅尼地道48號,,575
中西區,金谷大廈,,576
中西區,金谷大廈,,577
中西區,金谷大廈,,578
中西區,金谷大廈,,579
屯門,大興邨興盛樓,,580
屯門,兆畦苑兆富閣,,581
東區,和富中心4座,,583
中西區,敦皓,,584
灣仔,永德大廈B座,,585
油尖旺,帝柏海灣1座,,586
北區,崗下村,,587
北區,崗下村,,588
灣仔,柏寧酒店,,589
觀塘,康利苑1座,,590
觀塘,滙景花園1座,,591
灣仔,維多利中心3座,,592
元朗,Grand Yoho 10座,,593
油尖旺,晉逸精品酒店,,594
離島,嘉暉花園,,595
元朗,嘉湖山莊翠湖居1座,,596
觀塘,觀塘帝盛酒店,,597
沙田,沙田第一城8座,,598
北區,祥華邨祥德樓,,599
西貢,日出康城領峯7座,,600
灣仔,香港諾富特世紀酒店,,601
油尖旺,尖沙咀擎天半島3座,,602
九龍城,啟德1號(I)1座,,603
油尖旺,尖沙咀香港華麗酒店,,604
中西區,宏基國際賓館,,605
灣仔,肇明大廈,,606
荃灣,海雲軒2座,,607
元朗,錦繡花園,,608
九龍城,冠熹苑,,609
沙田,隔田村,,610
油尖旺,亞皆老街4號,,611
灣仔,愉富大廈A座,,612
灣仔,愉富大廈A座,,613
東區,佳翠苑耀翠閣,,614
元朗,黃泥墩村,,615
南區,美景臺AB座,,616
九龍城,達運閣C座,,617
中西區,永華大廈,,618
大埔,明雅苑明欣閣,,619
大埔,明雅苑明欣閣,,620
灣仔,禮頓山8座,,621
灣仔,愉富大廈A座,,622
離島,東涌東環1A座,,623
葵青,盈翠半島3A座,,624
大埔,馬牯纜村,,625
灣仔,恆信大廈,,626
中西區,皇后大道西484-496號新安大樓,,627
東區,新翠花園2座,,628
深水埗,石硤尾邨美笙樓,,629
灣仔,恆信大廈,,630
中西區,雍景臺2座,,631
屯門,兆畦苑兆富閣,,632
元朗,金閣豪園6座,,633
九龍城,加多利大廈,,634
觀塘,寶達邨達喜樓,,637
大埔,寶康大廈,,638
觀塘,樂華北邨勤華樓,,639
中西區,敦皓,,640
離島,逸泰居,,641
觀塘,雙喜大廈,,643
中西區,堅尼地道8號,,644
