As of date,As of time,Areas,Cumulative number of cases,Number of new cases,Shincheonji Church of Jesus,Cheongdo-gun Daenam Hospital related,Imported cases,Others,With epidemiological linkage to a cluster or known confirmed case,Others##
29/02/2020,9:00,Cheonnam,2,1,0,0,1,1,,
29/02/2020,9:00,Gyeongbuk,469,75,133,115,0,221,,
29/02/2020,9:00,Gyeongnam,59,13,19,0,0,40,,
29/02/2020,9:00,Jeju,2,0,0,0,0,2,,
01/03/2020,9:00,Seoul,82,8,4,0,18,60,,
01/03/2020,9:00,Busan,81,4,8,2,0,71,,
01/03/2020,9:00,Daegu,2569,513,1877,2,0,690,,
01/03/2020,9:00,Incheon,6,0,1,0,1,4,,
01/03/2020,9:00,Gwangju,9,0,7,0,1,1,,
01/03/2020,9:00,Daejeon,13,0,0,0,0,13,,
01/03/2020,9:00,Ulsan,17,0,9,0,0,8,,
01/03/2020,9:00,Sejong,1,0,1,0,0,0,,
01/03/2020,9:00,Gyeonggi,84,8,14,0,11,59,,
01/03/2020,9:00,Gangwon,7,0,3,0,0,4,,
01/03/2020,9:00,Chungbuk,11,1,4,0,0,7,,
01/03/2020,9:00,Chungnam,60,12,2,0,0,58,,
01/03/2020,9:00,Cheonbuk,5,0,0,0,1,4,,
01/03/2020,9:00,Cheonnam,3,1,0,0,1,2,,
01/03/2020,9:00,Gyeongbuk,514,45,162,115,0,237,,
01/03/2020,9:00,Gyeongnam,62,3,21,0,0,41,,
01/03/2020,9:00,Jeju,2,0,0,0,0,2,,
01/03/2020,16:00,Seoul,87,5,4,0,18,60,,
01/03/2020,16:00,Busan,83,2,8,2,0,71,,
01/03/2020,16:00,Daegu,2705,136,1877,2,0,690,,
01/03/2020,16:00,Incheon,6,0,1,0,1,4,,
01/03/2020,16:00,Gwangju,9,0,7,0,1,1,,
01/03/2020,16:00,Daejeon,13,0,0,0,0,13,,
01/03/2020,16:00,Ulsan,20,3,9,0,0,8,,
01/03/2020,16:00,Sejong,1,0,1,0,0,0,,
01/03/2020,16:00,Gyeonggi,89,5,14,0,11,59,,
01/03/2020,16:00,Gangwon,15,8,3,0,0,4,,
01/03/2020,16:00,Chungbuk,11,0,4,0,0,7,,
01/03/2020,16:00,Chungnam,68,8,2,0,0,58,,
01/03/2020,16:00,Cheonbuk,6,1,0,0,1,4,,
01/03/2020,16:00,Cheonnam,3,0,0,0,1,2,,
01/03/2020,16:00,Gyeongbuk,555,41,162,115,0,237,,
01/03/2020,16:00,Gyeongnam,63,1,21,0,0,41,,
01/03/2020,16:00,Jeju,2,0,0,0,0,2,,
02/03/2020,0:00,Seoul,91,9,4,0,18,69,,
02/03/2020,0:00,Busan,88,7,9,2,0,77,,
02/03/2020,0:00,Daegu,3081,514,2136,2,0,943,,
02/03/2020,0:00,Incheon,7,1,1,0,1,5,,
02/03/2020,0:00,Gwangju,9,0,7,0,1,1,,
02/03/2020,0:00,Daejeon,14,1,0,0,0,14,,
02/03/2020,0:00,Ulsan,20,3,10,0,0,10,,
02/03/2020,0:00,Sejong,1,0,1,0,0,0,,
02/03/2020,0:00,Gyeonggi,92,8,16,0,11,65,,
02/03/2020,0:00,Gangwon,19,12,7,0,0,12,,
02/03/2020,0:00,Chungbuk,11,0,5,0,0,6,,
02/03/2020,0:00,Chungnam,78,18,2,0,0,76,,
02/03/2020,0:00,Cheonbuk,6,1,0,0,1,5,,
02/03/2020,0:00,Cheonnam,5,2,1,0,1,3,,
02/03/2020,0:00,Gyeongbuk,624,108,197,115,0,312,,
02/03/2020,0:00,Gyeongnam,64,2,22,0,0,42,,
02/03/2020,0:00,Jeju,2,0,0,0,0,2,,
03/03/2020,0:00,Seoul,98,7,,,,,57,41
03/03/2020,0:00,Busan,90,2,,,,,68,22
03/03/2020,0:00,Daegu,3601,520,,,,,2385,1216
03/03/2020,0:00,Incheon,7,0,,,,,3,4
03/03/2020,0:00,Gwangju,11,2,,,,,9,2
03/03/2020,0:00,Daejeon,14,0,,,,,8,6
03/03/2020,0:00,Ulsan,20,0,,,,,10,10
03/03/2020,0:00,Sejong,1,0,,,,,1,0
03/03/2020,0:00,Gyeonggi,94,2,,,,,70,24
03/03/2020,0:00,Gangwon,20,1,,,,,7,13
03/03/2020,0:00,Chungbuk,11,0,,,,,5,6
03/03/2020,0:00,Chungnam,81,3,,,,,57,24
03/03/2020,0:00,Cheonbuk,7,1,,,,,3,4
03/03/2020,0:00,Cheonnam,5,0,,,,,2,3
03/03/2020,0:00,Gyeongbuk,685,61,,,,,436,249
03/03/2020,0:00,Gyeongnam,64,0,,,,,40,24
03/03/2020,0:00,Jeju,3,1,,,,,0,3
04/03/2020,0:00,Seoul,99,1,,,,,62,37
04/03/2020,0:00,Busan,93,3,,,,,71,22
04/03/2020,0:00,Daegu,4006,405,,,,,2585,1421
04/03/2020,0:00,Incheon,9,2,,,,,3,6
04/03/2020,0:00,Gwangju,13,2,,,,,9,4
04/03/2020,0:00,Daejeon,15,1,,,,,8,7
04/03/2020,0:00,Ulsan,23,3,,,,,11,12
04/03/2020,0:00,Sejong,1,0,,,,,1,0
04/03/2020,0:00,Gyeonggi,101,7,,,,,75,26
04/03/2020,0:00,Gangwon,21,1,,,,,11,10
04/03/2020,0:00,Chungbuk,11,0,,,,,5,6
04/03/2020,0:00,Chungnam,82,1,,,,,81,1
04/03/2020,0:00,Cheonbuk,7,0,,,,,4,3
04/03/2020,0:00,Cheonnam,5,0,,,,,2,3
04/03/2020,0:00,Gyeongbuk,774,89,,,,,526,248
04/03/2020,0:00,Gyeongnam,65,1,,,,,40,25
04/03/2020,0:00,Jeju,3,0,,,,,0,3
05/03/2020,0:00,Seoul,103,4,,,,,65,38
05/03/2020,0:00,Busan,92,-1,,,,,67,25
05/03/2020,0:00,Daegu,4327,321,,,,,3015,1312
05/03/2020,0:00,Incheon,9,0,,,,,4,5
05/03/2020,0:00,Gwangju,14,1,,,,,8,6
05/03/2020,0:00,Daejeon,16,1,,,,,9,7
05/03/2020,0:00,Ulsan,23,0,,,,,11,12
05/03/2020,0:00,Sejong,1,0,,,,,1,0
05/03/2020,0:00,Gyeonggi,110,9,,,,,80,30
05/03/2020,0:00,Gangwon,23,2,,,,,11,12
05/03/2020,0:00,Chungbuk,12,1,,,,,5,7
05/03/2020,0:00,Chungnam,86,4,,,,,81,5
05/03/2020,0:00,Cheonbuk,7,0,,,,,3,4
