As of date,As of time,Areas,Cumulative number of cases,Number of new cases,Shincheonji Church of Jesus,Cheongdo-gun Daenam Hospital related,Imported cases,Others,With epidemiological linkage to a cluster or known confirmed case,Others##
19/03/2020,0:00,Chungnam,118,0,,,,,112,6
19/03/2020,0:00,Cheonbuk,10,1,,,,,4,6
19/03/2020,0:00,Cheonnam,5,0,,,,,4,1
19/03/2020,0:00,Gyeongbuk,1190,12,,,,,863,327
19/03/2020,0:00,Gyeongnam,86,0,,,,,70,16
19/03/2020,0:00,Jeju,4,0,,,,,0,4
19/03/2020,0:00,Quarantine,16,5,,,,,16,0
20/03/2020,0:00,Seoul,299,17,,,,,218,81
20/03/2020,0:00,Busan,108,1,,,,,78,30
20/03/2020,0:00,Daegu,6275,34,,,,,5179,1096
20/03/2020,0:00,Incheon,36,4,,,,,30,6
20/03/2020,0:00,Gwangju,18,1,,,,,15,3
20/03/2020,0:00,Daejeon,22,0,,,,,12,10
20/03/2020,0:00,Ulsan,36,0,,,,,26,10
20/03/2020,0:00,Sejong,41,0,,,,,38,3
20/03/2020,0:00,Gyeonggi,309,14,,,,,250,59
20/03/2020,0:00,Gangwon,30,0,,,,,21,9
20/03/2020,0:00,Chungbuk,33,0,,,,,28,5
20/03/2020,0:00,Chungnam,119,1,,,,,112,7
20/03/2020,0:00,Cheonbuk,10,0,,,,,4,6
20/03/2020,0:00,Cheonnam,5,0,,,,,4,1
20/03/2020,0:00,Gyeongbuk,1203,13,,,,,870,333
20/03/2020,0:00,Gyeongnam,87,1,,,,,70,17
20/03/2020,0:00,Jeju,4,0,,,,,0,4
20/03/2020,0:00,Quarantine,17,1,,,,,17,0
21/03/2020,0:00,Seoul,314,15,,,,,223,91
21/03/2020,0:00,Busan,108,0,,,,,78,30
21/03/2020,0:00,Daegu,6344,69,,,,,5242,1102
21/03/2020,0:00,Incheon,40,4,,,,,32,8
21/03/2020,0:00,Gwangju,18,0,,,,,15,3
21/03/2020,0:00,Daejeon,22,0,,,,,12,10
21/03/2020,0:00,Ulsan,36,0,,,,,26,10
21/03/2020,0:00,Sejong,41,0,,,,,38,3
21/03/2020,0:00,Gyeonggi,321,12,,,,,262,59
21/03/2020,0:00,Gangwon,30,0,,,,,21,9
21/03/2020,0:00,Chungbuk,34,1,,,,,28,6
21/03/2020,0:00,Chungnam,119,0,,,,,112,7
21/03/2020,0:00,Cheonbuk,10,0,,,,,4,6
21/03/2020,0:00,Cheonnam,5,0,,,,,4,1
21/03/2020,0:00,Gyeongbuk,1243,40,,,,,910,333
21/03/2020,0:00,Gyeongnam,87,0,,,,,70,17
21/03/2020,0:00,Jeju,4,0,,,,,0,4
21/03/2020,0:00,Quarantine,23,6,,,,,23,0
22/03/2020,0:00,Seoul,324,10,,,,,230,94
22/03/2020,0:00,Busan,108,0,,,,,78,30
22/03/2020,0:00,Daegu,6387,43,,,,,5302,1085
22/03/2020,0:00,Incheon,40,0,,,,,32,8
22/03/2020,0:00,Gwangju,19,1,,,,,15,4
22/03/2020,0:00,Daejeon,24,2,,,,,13,11
22/03/2020,0:00,Ulsan,36,0,,,,,26,10
22/03/2020,0:00,Sejong,41,0,,,,,38,3
22/03/2020,0:00,Gyeonggi,337,16,,,,,275,62
22/03/2020,0:00,Gangwon,30,0,,,,,21,9
22/03/2020,0:00,Chungbuk,35,1,,,,,28,7
22/03/2020,0:00,Chungnam,120,1,,,,,112,8
22/03/2020,0:00,Cheonbuk,10,0,,,,,4,6
22/03/2020,0:00,Cheonnam,6,1,,,,,4,2
22/03/2020,0:00,Gyeongbuk,1254,11,,,,,918,336
22/03/2020,0:00,Gyeongnam,88,1,,,,,71,17
22/03/2020,0:00,Jeju,4,0,,,,,0,4
22/03/2020,0:00,Quarantine,34,11,,,,,34,0
23/03/2020,0:00,Seoul,330,6,,,,,233,97
23/03/2020,0:00,Busan,109,1,,,,,78,31
23/03/2020,0:00,Daegu,6411,24,,,,,5334,1077
23/03/2020,0:00,Incheon,40,0,,,,,32,8
23/03/2020,0:00,Gwangju,19,0,,,,,15,4
23/03/2020,0:00,Daejeon,24,0,,,,,13,11
23/03/2020,0:00,Ulsan,36,0,,,,,26,10
23/03/2020,0:00,Sejong,42,1,,,,,38,4
23/03/2020,0:00,Gyeonggi,351,14,,,,,286,65
23/03/2020,0:00,Gangwon,30,0,,,,,21,9
23/03/2020,0:00,Chungbuk,37,2,,,,,30,7
23/03/2020,0:00,Chungnam,120,0,,,,,112,8
23/03/2020,0:00,Cheonbuk,10,0,,,,,4,6
23/03/2020,0:00,Cheonnam,6,0,,,,,4,2
23/03/2020,0:00,Gyeongbuk,1256,2,,,,,921,335
23/03/2020,0:00,Gyeongnam,89,1,,,,,72,17
23/03/2020,0:00,Jeju,4,0,,,,,0,4
23/03/2020,0:00,Quarantine,47,13,,,,,47,0
24/03/2020,0:00,Seoul,334,4,,,,,233,101
24/03/2020,0:00,Busan,111,2,,,,,80,31
24/03/2020,0:00,Daegu,6442,31,,,,,5358,1084
24/03/2020,0:00,Incheon,41,1,,,,,32,9
24/03/2020,0:00,Gwangju,19,0,,,,,15,4
24/03/2020,0:00,Daejeon,24,0,,,,,13,11
24/03/2020,0:00,Ulsan,36,0,,,,,26,10
24/03/2020,0:00,Sejong,42,0,,,,,38,4
24/03/2020,0:00,Gyeonggi,366,15,,,,,293,73
24/03/2020,0:00,Gangwon,30,0,,,,,21,9
24/03/2020,0:00,Chungbuk,38,1,,,,,31,7
24/03/2020,0:00,Chungnam,120,0,,,,,112,8
24/03/2020,0:00,Cheonbuk,10,0,,,,,4,6
24/03/2020,0:00,Cheonnam,6,0,,,,,4,2
24/03/2020,0:00,Gyeongbuk,1257,1,,,,,932,325
24/03/2020,0:00,Gyeongnam,90,1,,,,,73,17
24/03/2020,0:00,Jeju,4,0,,,,,0,4
24/03/2020,0:00,Quarantine,67,20,,,,,0,67
25/03/2020,0:00,Seoul,347,13,,,58,,259,30
25/03/2020,0:00,Busan,112,1,,,2,,76,34
25/03/2020,0:00,Daegu,6456,14,,,2,,5427,1027
25/03/2020,0:00,Incheon,42,1,,,6,,34,2
25/03/2020,0:00,Gwangju,19,0,,,4,,14,1
25/03/2020,0:00,Daejeon,24,0,,,0,,14,10
25/03/2020,0:00,Ulsan,37,1,,,6,,24,7
25/03/2020,0:00,Sejong,44,2,,,0,,41,3
25/03/2020,0:00,Gyeonggi,387,21,,,36,,298,53
25/03/2020,0:00,Gangwon,31,1,,,2,,23,6
25/03/2020,0:00,Chungbuk,38,0,,,0,,30,8
25/03/2020,0:00,Chungnam,123,3,,,4,,112,7
25/03/2020,0:00,Cheonbuk,10,0,,,3,,1,6
25/03/2020,0:00,Cheonnam,8,2,,,0,,4,4
25/03/2020,0:00,Gyeongbuk,1262,5,,,0,,1103,159
25/03/2020,0:00,Gyeongnam,90,0,,,2,,72,16
25/03/2020,0:00,Jeju,6,2,,,1,,0,5
25/03/2020,0:00,Quarantine,101,34,,,101,,0,0
26/03/2020,0:00,Seoul,360,13,,,68,,266,26
26/03/2020,0:00,Busan,112,0,,,2,,76,34
26/03/2020,0:00,Daegu,6482,26,,,2,,5463,1017
26/03/2020,0:00,Incheon,43,1,,,7,,34,2
26/03/2020,0:00,Gwangju,19,0,,,4,,14,1
26/03/2020,0:00,Daejeon,30,6,,,1,,18,11
26/03/2020,0:00,Ulsan,37,0,,,6,,24,7
26/03/2020,0:00,Sejong,44,0,,,0,,42,2
26/03/2020,0:00,Gyeonggi,401,14,,,47,,309,45
26/03/2020,0:00,Gangwon,31,0,,,2,,22,7
26/03/2020,0:00,Chungbuk,39,1,,,0,,26,13
26/03/2020,0:00,Chungnam,124,1,,,5,,112,7
26/03/2020,0:00,Cheonbuk,10,0,,,3,,1,6
26/03/2020,0:00,Cheonnam,8,0,,,1,,4,3
26/03/2020,0:00,Gyeongbuk,1274,12,,,1,,1115,158
26/03/2020,0:00,Gyeongnam,90,0,,,2,,72,16
26/03/2020,0:00,Jeju,6,0,,,2,,0,4
26/03/2020,0:00,Quarantine,131,30,,,131,,0,0
27/03/2020,0:00,Seoul,372,12,,,74,,268,30
27/03/2020,0:00,Busan,113,1,,,2,,76,35
27/03/2020,0:00,Daegu,6516,34,,,2,,5487,1027
27/03/2020,0:00,Incheon,46,3,,,8,,34,4
27/03/2020,0:00,Gwangju,20,1,,,4,,14,2
27/03/2020,0:00,Daejeon,31,1,,,2,,18,11
27/03/2020,0:00,Ulsan,39,2,,,7,,24,8
27/03/2020,0:00,Sejong,44,0,,,0,,42,2
27/03/2020,0:00,Gyeonggi,412,11,,,49,,315,48
27/03/2020,0:00,Gangwon,31,0,,,2,,22,7
27/03/2020,0:00,Chungbuk,41,2,,,1,,28,12
27/03/2020,0:00,Chungnam,124,0,,,5,,112,7
27/03/2020,0:00,Cheonbuk,10,0,,,3,,1,6
27/03/2020,0:00,Cheonnam,8,0,,,1,,4,3
27/03/2020,0:00,Gyeongbuk,1283,9,,,1,,1117,165
27/03/2020,0:00,Gyeongnam,91,1,,,2,,73,16
27/03/2020,0:00,Jeju,7,1,,,2,,0,5
27/03/2020,0:00,Quarantine,144,13,,,144,,0,0
28/03/2020,0:00,Seoul,390,18,,,83,,272,35
28/03/2020,0:00,Busan,114,1,,,4,,76,34
28/03/2020,0:00,Daegu,6587,71,,,2,,5562,1023
28/03/2020,0:00,Incheon,51,5,,,14,,34,3
28/03/2020,0:00,Gwangju,20,0,,,5,,14,1
28/03/2020,0:00,Daejeon,31,0,,,3,,18,10
28/03/2020,0:00,Ulsan,39,0,,,8,,24,7
28/03/2020,0:00,Sejong,44,0,,,0,,42,2
28/03/2020,0:00,Gyeonggi,433,21,,,55,,333,45
28/03/2020,0:00,Gangwon,32,1,,,3,,22,7
28/03/2020,0:00,Chungbuk,41,0,,,2,,27,12
28/03/2020,0:00,Chungnam,126,2,,,5,,113,8
28/03/2020,0:00,Cheonbuk,10,0,,,3,,1,6
28/03/2020,0:00,Cheonnam,8,0,,,1,,4,3
28/03/2020,0:00,Gyeongbuk,1285,2,,,1,,1120,164
28/03/2020,0:00,Gyeongnam,91,0,,,3,,72,16
28/03/2020,0:00,Jeju,8,1,,,3,,0,5
28/03/2020,0:00,Quarantine,168,24,,,168,,0,0
29/03/2020,0:00,Seoul,410,20,,,92,,281,37
29/03/2020,0:00,Busan,117,3,,,5,,76,36
29/03/2020,0:00,Daegu,6610,23,,,3,,5584,1023
29/03/2020,0:00,Incheon,58,7,,,15,,36,7
29/03/2020,0:00,Gwangju,20,0,,,5,,14,1
29/03/2020,0:00,Daejeon,34,3,,,4,,20,10
29/03/2020,0:00,Ulsan,39,0,,,8,,24,7
29/03/2020,0:00,Sejong,46,2,,,0,,42,4
29/03/2020,0:00,Gyeonggi,448,15,,,64,,335,49
29/03/2020,0:00,Gangwon,34,2,,,4,,22,8
29/03/2020,0:00,Chungbuk,41,0,,,2,,27,12
29/03/2020,0:00,Chungnam,127,1,,,7,,113,7
29/03/2020,0:00,Cheonbuk,12,2,,,3,,1,8
29/03/2020,0:00,Cheonnam,9,1,,,1,,6,2
29/03/2020,0:00,Gyeongbuk,1287,2,,,1,,1121,165
29/03/2020,0:00,Gyeongnam,94,3,,,5,,72,17
29/03/2020,0:00,Jeju,8,0,,,4,,0,4
29/03/2020,0:00,Quarantine,189,21,,,189,,0,0
30/03/2020,0:00,Seoul,426,16,,,109,,284,33
30/03/2020,0:00,Busan,118,1,,,8,,80,30
30/03/2020,0:00,Daegu,6624,14,,,4,,5871,749
30/03/2020,0:00,Incheon,58,0,,,19,,36,3
30/03/2020,0:00,Gwangju,20,0,,,5,,14,1
30/03/2020,0:00,Daejeon,34,0,,,4,,21,9
30/03/2020,0:00,Ulsan,39,0,,,8,,24,7
30/03/2020,0:00,Sejong,46,0,,,3,,42,1
30/03/2020,0:00,Gyeonggi,463,15,,,79,,342,42
30/03/2020,0:00,Gangwon,36,2,,,5,,23,8
30/03/2020,0:00,Chungbuk,44,3,,,3,,32,9
30/03/2020,0:00,Chungnam,127,0,,,7,,113,7
30/03/2020,0:00,Cheonbuk,13,1,,,5,,1,7
30/03/2020,0:00,Cheonnam,9,0,,,2,,6,1
30/03/2020,0:00,Gyeongbuk,1298,11,,,2,,1162,134
30/03/2020,0:00,Gyeongnam,95,1,,,6,,72,17
30/03/2020,0:00,Jeju,9,1,,,5,,0,4
30/03/2020,0:00,Quarantine,202,13,,,202,,0,0
31/03/2020,0:00,Seoul,450,24,,,119,,293,38
31/03/2020,0:00,Busan,119,1,,,8,,80,31
31/03/2020,0:00,Daegu,6684,60,,,5,,5930,749
31/03/2020,0:00,Incheon,64,6,,,21,,36,7
31/03/2020,0:00,Gwangju,20,0,,,5,,14,1
31/03/2020,0:00,Daejeon,36,2,,,4,,21,11
31/03/2020,0:00,Ulsan,39,0,,,8,,24,7
31/03/2020,0:00,Sejong,46,0,,,3,,42,1
31/03/2020,0:00,Gyeonggi,476,13,,,86,,348,42
31/03/2020,0:00,Gangwon,36,0,,,6,,22,8
31/03/2020,0:00,Chungbuk,44,0,,,4,,32,8
31/03/2020,0:00,Chungnam,128,1,,,7,,113,8
31/03/2020,0:00,Cheonbuk,13,0,,,6,,1,6
31/03/2020,0:00,Cheonnam,9,0,,,2,,6,1
31/03/2020,0:00,Gyeongbuk,1300,2,,,5,,1162,133
31/03/2020,0:00,Gyeongnam,96,1,,,7,,72,17
31/03/2020,0:00,Jeju,9,0,,,5,,0,4
31/03/2020,0:00,Quarantine,217,15,,,217,,0,0
01/04/2020,0:00,Seoul,474,24,,,127,,310,37
01/04/2020,0:00,Busan,122,3,,,12,,80,30
01/04/2020,0:00,Daegu,6704,20,,,5,,5961,738
01/04/2020,0:00,Incheon,69,5,,,25,,40,4
01/04/2020,0:00,Gwangju,24,4,,,6,,15,3
01/04/2020,0:00,Daejeon,36,0,,,6,,21,9
01/04/2020,0:00,Ulsan,39,0,,,8,,24,7
01/04/2020,0:00,Sejong,46,0,,,3,,42,1
01/04/2020,0:00,Gyeonggi,499,23,,,96,,359,44
01/04/2020,0:00,Gangwon,38,2,,,7,,23,8
01/04/2020,0:00,Chungbuk,44,0,,,4,,31,9
01/04/2020,0:00,Chungnam,131,3,,,8,,114,9
01/04/2020,0:00,Cheonbuk,14,1,,,6,,1,7
01/04/2020,0:00,Cheonnam,12,3,,,4,,6,2
01/04/2020,0:00,Gyeongbuk,1302,2,,,5,,1164,133
01/04/2020,0:00,Gyeongnam,100,4,,,9,,72,19
01/04/2020,0:00,Jeju,9,0,,,5,,0,4
01/04/2020,0:00,Quarantine,224,7,,,224,,0,0
02/04/2020,0:00,Seoul,488,14,,,134,,314,40
02/04/2020,0:00,Busan,122,0,,,12,,80,30
02/04/2020,0:00,Daegu,6725,21,,,6,,5979,740
02/04/2020,0:00,Incheon,73,4,,,27,,43,3
02/04/2020,0:00,Gwangju,25,1,,,8,,16,1
02/04/2020,0:00,Daejeon,36,0,,,6,,21,9
02/04/2020,0:00,Ulsan,40,1,,,8,,24,8
02/04/2020,0:00,Sejong,46,0,,,3,,42,1
02/04/2020,0:00,Gyeonggi,516,17,,,102,,371,43
02/04/2020,0:00,Gangwon,39,1,,,8,,23,8
02/04/2020,0:00,Chungbuk,44,0,,,4,,32,8
02/04/2020,0:00,Chungnam,133,2,,,8,,117,8
02/04/2020,0:00,Cheonbuk,14,0,,,6,,3,5
02/04/2020,0:00,Cheonnam,14,2,,,5,,7,2
02/04/2020,0:00,Gyeongbuk,1304,2,,,7,,1164,133
02/04/2020,0:00,Gyeongnam,106,6,,,10,,76,20
02/04/2020,0:00,Jeju,9,0,,,5,,0,4
02/04/2020,0:00,Quarantine,242,18,,,242,,0,0
03/04/2020,0:00,Seoul,506,18,,,148,,319,39
03/04/2020,0:00,Busan,122,0,,,12,,80,30
03/04/2020,0:00,Daegu,6734,9,,,7,,5986,741
03/04/2020,0:00,Incheon,74,1,,,27,,43,4
03/04/2020,0:00,Gwangju,26,1,,,9,,16,1
03/04/2020,0:00,Daejeon,36,0,,,6,,21,9
03/04/2020,0:00,Ulsan,40,0,,,9,,24,7
03/04/2020,0:00,Sejong,46,0,,,3,,42,1
03/04/2020,0:00,Gyeonggi,539,23,,,107,,389,43
03/04/2020,0:00,Gangwon,41,2,,,8,,25,8
03/04/2020,0:00,Chungbuk,45,1,,,4,,32,9
03/04/2020,0:00,Chungnam,134,1,,,8,,119,7
03/04/2020,0:00,Cheonbuk,15,1,,,6,,3,6
03/04/2020,0:00,Cheonnam,15,1,,,6,,7,2
03/04/2020,0:00,Gyeongbuk,1309,5,,,7,,1168,134
03/04/2020,0:00,Gyeongnam,107,1,,,11,,78,18
03/04/2020,0:00,Jeju,9,0,,,5,,0,4
03/04/2020,0:00,Quarantine,264,22,,,264,,0,0
