地區,大廈名單,最後個案居住日期,相關疑似/確診個案
黃大仙,啟德花園2座,,275
灣仔,恆信大廈,,276
灣仔,謝斐道 307號,,277
灣仔,Tagus Residences,,278
離島,寶峰寶琳閣,,279
中西區,太極軒120,,281
中西區,荷李活道208號,,282
南區,如心南灣海景酒店,,283
沙田,海柏花園6座,,284
油尖旺,浪澄灣7座,,285
西貢,北港㘭路,,286
荃灣,樂悠居,,287
葵青,青衣長安邨安海樓,,287
東區,和富中心6座,,288
東區,鯉景灣安曉閣,,289
南區,奧華·時尚精品酒店,,290
南區,龍德苑晉德閣,,291
灣仔,香港珀麗酒店,,292
灣仔,萬茂苑,,293
荃灣,環宇海灣1座,,295
北區,粉嶺圍南,,296
東區,華美達盛景酒店,,297
北區,華明邨禮明樓,,298
九龍城,海韻軒3座,,299
油尖旺,九龍珀麗酒店,,300
沙田,廣林苑馥林閣,,301
沙田,香港體育學院精英運動員宿舍,,302
東區,東霖苑,,"303, 304"
東區,筲箕灣道191-193號,,306
觀塘,德田邨德瑞樓,,308
灣仔,鳳輝臺蔚雲閣,,309
中西區,駿豪閣,,310
九龍城,鶴齡街8號,,311
葵青,葵康苑葵逸閣,,312
油尖旺,麗東大廈,,313
深水埗,怡閣苑怡泰閣,,314
中西區,威勝大廈,,315
南區,數碼港艾美酒店,,316
西貢,匡湖居,,317
南區,AQUA 33 四座,,318
中西區,羲皇臺8座,,319
屯門,漣山,,320
離島,諾富特東薈城酒店,,321
九龍城,施他佛道25號,,322
油尖旺,君頤峰6座,,323
油尖旺,九龍珀麗酒店,,324
中西區,聯邦花園維也納閣,,325
南區,曼克頓花園D座,,326
中西區,曉峰閣1座,,327
離島,昇薈10座,,328
大埔,大埔中心4期8座,,332
油尖旺,太子道西207號加多利大廈,,333
東區,賽西湖大廈,,334
油尖旺,香港華麗酒店,,335
九龍城,窩打老道152號,,336
葵青,美寧大廈,,337
葵青,葵涌邨秋葵樓,,338
東區,西灣河東熹苑華熹閣,,339
西貢,西貢逸瓏海匯1座,,339
東區,柴灣小西灣邨瑞發樓,,340
灣仔,跑馬地樂活道38號,,341
南區,鴨脷洲利東邨東業樓,,342
東區,北角灝美旅舍,,342
灣仔,灣仔香島大廈,,343
西貢,新都城第一期4座,,344
中西區,半山寶雲山莊,,345
灣仔,寶明大廈,,346
沙田,雅典居7座,,347
東區,富景花園3座,,348
沙田,耀安邨耀遜樓,,349
大埔,江庫雅苑10座,,350
大埔,江庫雅苑10座,,351
西貢,西沙路西徑村,,352
觀塘,觀塘帝盛酒店,,353
中西區,荷李活道53號,,354
沙田,駿景園11座,,從日本回港(鑽石公主號)
中西區,澤安閣,,從日本回港(鑽石公主號)
東區,太古城金山閣,,358
九龍城,施他佛道,,359
中西區,皇后大道西312號,,360
中西區,瑧璈,,361
中西區,金谷大廈,,362
南區,曼克頓花園C座,,363
沙田,富豪花園翡翠閣,,366
中西區,金谷大廈,,367
中西區,香港四季酒店,,"368,369"
中西區,平安里1號,,370
離島,滿東邨滿和樓,,371
南區,海怡半島12座,,372
灣仔,星港大廈,,373
南區,碧瑤灣25座,,374
中西區,威勝大廈,,375
大埔,新屋家,,377
中西區,匯賢居,,378
九龍城,牛津道1號,,379
東區,明園西街6號,,380
西貢,匡湖居,,381
大埔,新達廣場3座,,383
灣仔,恆信大廈,,384
西貢,廣明苑廣昌閣,,385
離島,銀灣邨銀月樓,,386
灣仔,恆信大廈,,387
西貢,景林邨景棉樓,,388
灣仔,波斯富大廈,,389
灣仔,香港珀麗酒店,,390
灣仔,鳳輝臺1A號,,391
離島,大浪灣村,,392
大埔,康樂東路,,393
元朗,富盛大廈,,394
屯門,青磚圍雍景園,,395
離島,香港愉景灣酒店,,396
葵青,盈翠半島8座,,397
荃灣,荃灣帝盛酒店,,398
屯門,順風圍,,399
油尖旺,香港金域假日酒店,,400
油尖旺,香港金域假日酒店,,401
中西區,威利大廈,,402
灣仔,雅栢苑A座,,403
灣仔,雅栢苑A座,,404
九龍城,海逸豪園16座,,405
南區,旭逸居2座,,406
東區,嘉亨灣1座,,407
北區,料壆村12巷,,408
油尖旺,維港灣6座,,409
中西區,半山干德道52號,,410
屯門,屯門新墟村,,411
觀塘,觀塘紀律部隊宿舍,,412
元朗,屏欣苑屏愛閣,,413
深水埗,美孚新邨吉利徑8號,,414
九龍城,冠熹苑,,415
油尖旺,尖沙咀君怡酒店,,415
油尖旺,最佳盛品酒店,,415
大埔,南華莆,,416
中西區,殷樺花園,,417
油尖旺,東方花園B座,,418
灣仔,香港銅鑼灣維景酒店,,419
灣仔,Happy Valley 88,,420
油尖旺,日和閣,,421
東區,金源洋樓,,422
灣仔,希雲大廈,,423
離島,映灣園6座,,424
油尖旺,荔枝角道19號,,428
南區,鴨脷洲海怡半島6座,,429
油尖旺,一號銀海2座,,430
北區,清河邨清澤樓,,431
灣仔,軒尼詩道357號宜興樓,,432
灣仔,恆信大廈,,432
灣仔,恆信大廈,,433
灣仔,恆信大廈,,434
中西區,港景別墅,,435
